title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,spam_label,sentiment_label,id,url,rating,types
Resorts World Sentosa,Poor food quality. Served cold. Minimal apology.,False,False,,Bus stop,0,1.0,not spam,bad,ChIJLR75v_0b2jERJrR28stYwMU,https://maps.google.com/?cid=14249486853969720358&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"resort_hotel, tourist_attraction, aquarium, casino, hotel, lodging, point_of_interest, establishment"
Resorts World Sentosa,Poor food quality. Served cold. Minimal apology.,False,False,,Bus stop,0,1.0,not spam,bad,ChIJhVF18lQZ2jERA5C_EHKdiAo,https://maps.google.com/?cid=759029650444750851&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"bus_stop, transit_station, point_of_interest, establishment"
World Sentosa + Adventure Cove Waterpark,It's okay. Wasnt the best watermpark. If you're planning to go here please make sure you reapply sunscreen every 1 hour and don't stay for more than 1-2 hours if not you're definitely getting sunburned. That's what happened to me. Thr fact that most of the fun activities are without a roof to shade from the sun is concerning. Just keep in mind that you might get really bad sunburned and increase risk of skin cancer.,False,True,,Tourist attraction,0,3.0,not spam,bad,ChIJy5Imj80f2jERFY5dqiCKtXc,https://maps.google.com/?cid=8625952534199897621&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"tourist_attraction, point_of_interest, establishment"
Prima Food Pte Ltd,"Their char kuey tiao taste like some Chinese chili paste! Thank God I didn't pour in the entire packet. Poured abit and wonder why it's filled with chili oil n tasted so spicy. So disappointing. There is no usual chili logo indicator on the packaging to state spiciness level. They state ""hint of chili"" I am a chili eating lover but this is Not just spicy, it is very spicy!! Since when is char kuay tiao spicy? Should at least seperate dark sauce and chili paste at the side. The concoction just tasted so wrong. Can't even be used at mee goreng 😢 the picture with the noodle was after pouring in 1 teaspoon of the paste and what we ""took out"" to save the rest of our noodles",False,False,,Food manufacturer,0,1.0,not spam,bad,ChIJHfsqMlkZ2jERr_VvRqACHV4,https://maps.google.com/?cid=6781579501289600431&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.8,"food, point_of_interest, establishment"
Prima Food Pte Ltd,Taste so bad.. how did this even manage to get launched? Something is wrong with the management taste..,False,True,,Food manufacturer,0,1.0,not spam,bad,ChIJHfsqMlkZ2jERr_VvRqACHV4,https://maps.google.com/?cid=6781579501289600431&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.8,"food, point_of_interest, establishment"
Santosa,Very nice,False,True,,College,0,5.0,not spam,good,ChIJE__kDQAf2jERZlLKjvp_1d0,https://maps.google.com/?cid=15984823166535619174&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,5.0,"university, point_of_interest, establishment"
Prima Limited (FLOUR MILLS),"i found a. bug in my flour. new flour, the bug came in the flour. it was alive (which is scary btw) and now i need to replace the flour👎 not good very ew",False,False,,Manufacturer,0,2.0,not spam,bad,ChIJb3g7QXMZ2jER5UG5Dl3XPcQ,https://maps.google.com/?cid=14140695199692177893&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"point_of_interest, establishment"
Prima Limited (FLOUR MILLS),Singapore’s own flour mills. A pity that the revolving restaurant has permanently closed.,False,True,,Manufacturer,0,4.0,not spam,bad,ChIJb3g7QXMZ2jER5UG5Dl3XPcQ,https://maps.google.com/?cid=14140695199692177893&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"point_of_interest, establishment"
Harbourfront Boardwalk,Nice seaview.,False,True,,Scenic spot,0,4.0,not spam,good,ChIJwXTLLwAZ2jER4UiURaVqFn0,https://maps.google.com/?cid=9013508962298120417&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"hiking_area, park, sports_activity_location, point_of_interest, establishment"
Harbourfront Boardwalk,Morning/Evening walk place..,False,True,,Scenic spot,0,4.0,not spam,good,ChIJwXTLLwAZ2jER4UiURaVqFn0,https://maps.google.com/?cid=9013508962298120417&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"hiking_area, park, sports_activity_location, point_of_interest, establishment"
Fort Serapong,"I tried to get into the fort, but it's closed. The entrance is partitioned off and a sign is set up that there is no way in.
Do not waste your time, you will not find any interesting historical sights here.",False,True,,Historical landmark,0,1.0,not spam,bad,ChIJ64jZU6Mf2jERuOpSam1xH2g,https://maps.google.com/?cid=7502840218971728568&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"historical_landmark, historical_place, point_of_interest, establishment"
Fort Serapong,No entry when I was there on 30 march 2021,False,True,,Historical landmark,0,1.0,not spam,bad,ChIJ64jZU6Mf2jERuOpSam1xH2g,https://maps.google.com/?cid=7502840218971728568&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"historical_landmark, historical_place, point_of_interest, establishment"
Sentosa Boardwalk,"I don't know if Sentosa management went wrong or what.  Now (as of may 25  2025) closed the old board walk and new one is a very narrow conjugated and not so nice walk feel.

This is really insane. Lot of people enjoy this walk along sea and sun and Singapore skyline..and closed it permanently is not good.

Management should seriously think of this",False,True,,Hiking area,0,1.0,not spam,bad,ChIJDxyQUAAZ2jERVmLHwcPgzqI,https://maps.google.com/?cid=11731561210721034838&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.8,"hiking_area, tourist_attraction, park, sports_activity_location, point_of_interest, establishment"
Sentosa Boardwalk,As of 3rd July half the walkway is closed off. You also need to walk through the car park. Better off taking the tram as it’s free while inside sentosa island area,False,True,,Hiking area,0,1.0,not spam,bad,ChIJDxyQUAAZ2jERVmLHwcPgzqI,https://maps.google.com/?cid=11731561210721034838&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.8,"hiking_area, tourist_attraction, park, sports_activity_location, point_of_interest, establishment"
Marina Bay Cruise Centre Singapore,"Communication Aspect: Plenty of communication gaps. Also, staff from different departments draw clear lines and often push responsibilities around.

Customer service: Customer service is below average and close to poor. My family was challenged by a male staff to write a formal online complaint against the Genting Dream Cruise, while the root cause of the mistake is due to the shortage of Manpower and lack of situation management skills.

Overall, I will not recommend this place. In short, Marina Bay Cruise Centre is unfortunate to have a bunch dysfunctional and irresponsible team.",False,True,,Cruise terminal,0,1.0,not spam,bad,ChIJy2KCdQAZ2jERDJ2C7EAW7DY,https://maps.google.com/?cid=3957562640653524236&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment"
Marina Bay Cruise Centre Singapore,"It’s interesting to see how different you this Terminal is organized compared to pretty much any Air- and Seaport. All the staff is running around completely stressed out. We are standing in line for security check for more than an hour and nothing is moving, the lines are all the way to the outside by now. This isn’t badly managed, it’s not managed at all. Frustrating, 1*",False,True,,Cruise terminal,0,1.0,not spam,bad,ChIJy2KCdQAZ2jERDJ2C7EAW7DY,https://maps.google.com/?cid=3957562640653524236&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment"
Marina South Wharves,"Jurong Port makes tonnes of money but can't even provide seats for port users. If there is a stop work due to rain, expect to stand between 2 to 5hrs !!!  Pavement leading to the wharf is very narrow and unsafe due to heavy vehicles plying the lane leading to the wharf. I would have given zero star if there is an option.",False,True,,Transportation service,0,1.0,not spam,bad,ChIJ0dJ7HkMZ2jERUyGFZY6WYXI,https://maps.google.com/?cid=8242034331397464403&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"point_of_interest, establishment"
Marina Bay Cruise Centre,"Horrible experience with aggressive staff member yelling at my family for requesting to join the wheelchair queue going on the Genting Cruise. He kept shouting only one carer with wheelchair is allowed. So my father is being punished for having 2 carers and not being allowed to the wheelchair priority queue. Later on, my father was taken away and wheeled to the priority queue with a wider gantry while we were shuffled through 2 separate queues. It was so confusing throughout and staff members were generally dismissive rather than providing genuine help to wheelchair bound customers and their families.",False,True,,Bus stop,0,1.0,not spam,bad,ChIJfyAOmiMZ2jERY-efsiKC7UM,https://maps.google.com/?cid=4894711455558920035&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.9,"bus_stop, transit_station, point_of_interest, establishment"
Marina Bay Cruise Centre,"Terrible attitude from one of the ground staff wearing dark blue shirt. Insisted with rude tone that one person must queue for the room pass before entering the sitting area. If such a big crowd and you cannot handle, please dont stay as frontliner. Spoiling my mood before boarding.",False,True,,Bus stop,0,1.0,not spam,bad,ChIJfyAOmiMZ2jERY-efsiKC7UM,https://maps.google.com/?cid=4894711455558920035&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.9,"bus_stop, transit_station, point_of_interest, establishment"
F61 Taxi Stand,It's a great 😃,False,False,,Taxicab Stand,0,5.0,not spam,good,ChIJ79WJnE8Z2jERdwMpv7aHzhk,https://maps.google.com/?cid=1859572915111527287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,5.0,"taxi_stand, point_of_interest, establishment"
Singapore Port,"The port security are not making any sense. They can put a ban on bringing food onboard, without any good reason",False,False,,River port,0,1.0,not spam,bad,ChIJmxL9KwAZ2jERkKlKXeZsPKM,https://maps.google.com/?cid=11762396063448344976&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"point_of_interest, establishment"
Singapore Port,🇬🇧威尔士亲王航母 访问🇸🇬,False,True,,River port,0,4.0,spam,good,ChIJmxL9KwAZ2jERkKlKXeZsPKM,https://maps.google.com/?cid=11762396063448344976&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"point_of_interest, establishment"
No Name Cafe,"Go there no need to que
Don't bother just shout the order to him even you are behind the que.",False,False,,Coffee shop,0,1.0,not spam,bad,ChIJo2qByVQZ2jERI-CMaNo8888,https://maps.google.com/?cid=14984387293946372131&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.3,"coffee_shop, food_store, store, cafe, food, point_of_interest, establishment"
No Name Cafe,"Only store selling cooked food at this pier. Food was very cold even though I got it at 8am in the morning. $4 nasi lemak had one egg, chicken cutlet, ikan bilis, came with FOC fried ant. Maybe better to buy food before coming here.",False,True,,Coffee shop,0,2.0,not spam,bad,ChIJo2qByVQZ2jERI-CMaNo8888,https://maps.google.com/?cid=14984387293946372131&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.3,"coffee_shop, food_store, store, cafe, food, point_of_interest, establishment"
MBFC Tower 3,"What is your solution for delivery riders? Simple. Let them get summoned. No viable solution taken to address the issue of short term parking delivering food. Oh wait, there are parking lots available? Did you realise the economic impact of your parking charges???",False,True,,Business center,0,1.0,not spam,bad,ChIJj1FKMw4Z2jERUDz1GxgD08o,https://maps.google.com/?cid=14615028617830546512&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"point_of_interest, establishment"
MBFC Tower 3,Horrible rude security. The management should come out and see how they shout or gesture at the drivers. Awesome impression for our guests to the offices.,False,True,,Business center,0,1.0,not spam,bad,ChIJj1FKMw4Z2jERUDz1GxgD08o,https://maps.google.com/?cid=14615028617830546512&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"point_of_interest, establishment"
Suntec Singapore Convention & Exhibition Centre,worst security here. there’s no rule that we can’t loiter around in the premises of the center. he started harassing us for hanging around when we didn’t do anything wrong. also we didn’t make any noise or cause any disturbance. here is the photo of him.,False,False,,Convention center,0,1.0,not spam,bad,ChIJ8yvdOK8Z2jERx1TP2rKMPtY,https://maps.google.com/?cid=15437931272475727047&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"convention_center, event_venue, point_of_interest, establishment"
Suntec Singapore Convention & Exhibition Centre,"Worst place to have a concert in Singapore, feels like an orchestra in an Indian marriage with chairs and people roaming around with drinks all the time. Star, Capitol and Esplanade are way better than this place",False,True,,Convention center,0,1.0,not spam,bad,ChIJ8yvdOK8Z2jERx1TP2rKMPtY,https://maps.google.com/?cid=15437931272475727047&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"convention_center, event_venue, point_of_interest, establishment"
ArtScience Museum,"I visited Mirror Mirror exhibition in the art science museum. And to be honest, it was absolutely pathetic.

Not even a single room in the exhibit was interesting and it felt like a thought less exhibition just to increase the variety in the art science museum.

I have heard that some of the other exhibitions are good but none are great, but I honestly only had the time to visit Mirror Mirror exhibition. And it was not at all good.

To be very honest, India has much better science museum and most of them will wow you!",False,True,,Museum,0,1.0,not spam,bad,ChIJnWdQKQQZ2jERScXuKeFHyIE,https://maps.google.com/?cid=9351803658631562569&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"museum, tourist_attraction, point_of_interest, establishment"
ArtScience Museum,"As great as the overall design of the building is (which, if judged on those merits alone, would warrant 5 stars), the two exhibits I went to were a mixed bag. It also didn't help that the Future World exhibits were unavailable for the time I was here, I was pretty excited to see it. Here's a quick review of what I got to see.

Sen (VR) - 1/5. The VR elements feel tacked on and not well implemented. Not only was I stuck in the floor for the most part, there wasn't much interactivity to the whole film. You can drag the little guy around very slightly, and that's all. I also ended up not understanding anything about the film and what it was trying to say, which may just be a skill issue on my end, but it's pretty rare for me to walk away from a work of art with absolutely 0 idea of how to interpret it. I was thinking that this film would have something related to the history of tea in Japanese culture or go in depth about the themes of life, death, and rebirth, but those only show up in extremely vague ways that just end up not meaning a whole lot. The actual audio-visual experience itself wasn't half bad, but I've seen and felt more powerful things in completely free experiences made in VRChat. Overall, I was really looking forward to it, but it turned out to not be worth the 19SGD.

Mirror Mirror: Journey Into the Mind -  2-4/5. This experience completely hinges on your opinion of AI art. It's a non-linear experience where you go through different exhibits to explore the inner workings of yourself, and for the most part it was a rather insightful and informative experience. However, one exhibit fully depends on inputs from the audience to create vague and pointless AI poems and imagery, and having that at the very end of my journey completely shattered my perception of the exhibit. I felt betrayed honestly, not only because that put into question the genuine human creativity behind the exhibit as a whole, but also made me realize that this whole venture was kinda meaningless. I came in here looking for some form of deep introspection, and though I did get that in a few of the exhibits (especially the brainstorm room and the mirror forest, those were simple yet very effective), I walked out very frustrated and I felt like I had wasted my money. If computer generated images and writing help you reach a further sense of understanding, then I'm happy for you. Me? I wish they had just removed that part of the exhibit, then I'd have been happy with the rest of the project.

Overall, the museum has had some strange choices of exhibits to feature, and I hope that they can make better choices in the future. I'm completely disappointed by my time here, and I hope that next time (if there is one), they'll have more meaningful projects to show and less involvement of AI-generated anything. I get that this is supposed to be a blend of art and science, but AI is not the way to go.",False,True,,Museum,0,1.0,not spam,bad,ChIJnWdQKQQZ2jERScXuKeFHyIE,https://maps.google.com/?cid=9351803658631562569&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"museum, tourist_attraction, point_of_interest, establishment"
One Raffles Quay,"The building owners decided to enforce existing the office building using the phone app, further inconveniencing and congesting the exit process from the building. The new LED panels emit so much heat it’s enough to keep my lunch warm. Talk about being “green” and being good for the environment. Poorly thought through.",False,False,,Business center,0,1.0,not spam,bad,ChIJsRqiaQ4Z2jERf5aRETOqllI,https://maps.google.com/?cid=5951131093931497087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"point_of_interest, establishment"
One Raffles Quay,"Building exit needs scanning
Difficult for guest , lift libby passage is narrow crowded during morning and noon.",False,True,,Business center,0,1.0,not spam,bad,ChIJsRqiaQ4Z2jERf5aRETOqllI,https://maps.google.com/?cid=5951131093931497087&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"point_of_interest, establishment"
Singapore Flyer,"It was an absolute nightmare taking the Singapore Flyer for NDP fireworks viewing. The fare was 300 per person, and the food was below decent, with hard bread and very chewy beef. The whole point of paying for this package was to enjoy the fireworks from a great vantage point, yet we were stuck on the opposite side for the entire duration with the view completely blocked. It is understandable that there is some luck involved in where you end up by the time the fireworks start. The issue is, the Flyer had stopped moving or significantly reduced its speed, a few times during the fireworks. Meaning everyone on our side had no view of the fireworks at all, while the other half of the Flyer enjoyed an unobstructed view for 10 to 15 minutes. I have no idea how they decided who should get the better view. Without proper rotation, it is simply not fair. So, for 300 per person, we were left staring at the blocked view instead of the fireworks. Good job.",False,True,"Dear Ms. Jiang, Thank you for taking the time to share your feedback. We are sorry to hear that your experience onboard the 165 Sky Dining did not meet your expectations.
We strive to deliver a seamless and memorable journey for all guests. However, on certain evenings such as Singapore’s National Day celebrations, significantly larger crowds are drawn to the Marina Bay area for the aerial displays and festivities. This, combined with other operational factors, can occasionally affect the pacing and location of the flight despite our best efforts. While our Sky Dining flights are curated to offer a memorable experience with panoramic views of the Singapore skyline, views of the fireworks cannot be guaranteed, and we seek your kind understanding on this matter.
We also note your comments on the food quality and would greatly appreciate it if you could write to our team at customer_service@singaporeflyer.com with your flight confirmation details, so that we may review the matter thoroughly with our teams. Your feedback is important to us and will help us address the concerns you have raised.
Thank you once again, and we wish you a pleasant day ahead.
",Ferris wheel,0,1.0,not spam,bad,ChIJzVHFNqkZ2jERboLN2YrltH8,https://maps.google.com/?cid=9202232323147137646&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"ferris_wheel, tourist_attraction, point_of_interest, establishment"
Singapore Flyer,"The VIP ticket experience was very bad. The ticket said 7.30-8.00pm, but you still have to wait for at least 20-30 minutes. I really don't recommend it.",False,False,"Thank you for sharing your feedback. We're genuinely sorry to hear that your experience did not meet expectations, and we truly appreciate you taking the time to highlight this. While we strive to deliver a seamless experience at all times, there are select evenings — particularly in the lead-up to Singapore’s National Day celebrations — where larger crowds are drawn to the area to view the aerial displays and citywide festivities. This occasionally results in brief waiting times (e.g. themed cabin arrival times) despite scheduled entry slots. We seek your kind understanding in this matter and we sincerely regret any inconvenience this may have caused. 
Thank you once again for sharing your experience with us, we genuinely appreciate your understanding and patience. If you have any additional concerns or would like to discuss your experience further, please don’t hesitate to reach out to us directly at customerservice@singaporeflyer.com. We hope to have the opportunity to welcome you back for a more seamless visit in the future.
",Ferris wheel,0,1.0,not spam,bad,ChIJzVHFNqkZ2jERboLN2YrltH8,https://maps.google.com/?cid=9202232323147137646&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"ferris_wheel, tourist_attraction, point_of_interest, establishment"
Bayfront MRT Station (CE1/DT16),The entrance and exit experience with a stroller is a nightmare. It takes over 30 minutes just to enter via Gardens by the Bay entrance and to get to the MRT platform. Also over half of the linkway to MRT is occupied by the TikTok creators wasting precious public space for their content creation. Please add more lifts. Also escalator is a must have on the Gardens by the Bay entrance side.,False,True,,Railway services,0,1.0,not spam,bad,ChIJGykJTU4Z2jERZZXRzNiRXLs,https://maps.google.com/?cid=13500826143285155173&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment"
Bayfront MRT Station (CE1/DT16),"Generally is OK however today at 915pm, myself and wife were ""chosen"" for security checks and when I asked why were we chosen - answer given was ""random"".

OK, but if its random isn't make more sense to choose someone with heavier bags or luggages which could like have a higher risk of carrying possibly dangerous material that pose safety to commuters? I had only a wallet and an HP while my wife was carrying a seemingly light body pouch that does not represent any danger.. while we are being scanned, I notice the security officer chose another two ladies (probably tourist) with handbags for scanning..

Come on, there are other commuters with huge luggages and bags. Those are the type which should be selected for random checks. To Circle line, you can take this and feedback to TransCom or LTA. This is important because I do not see how the random checks is effective or even near practical if people like us with handbags and wallets are chosen consecutively for screening which pose no threat or danger. At least choose the one with higher risk for random check.

For the safety of Singapore and its citizen/residents, I urge that you step up the screening randomly but with better effort on effective selection and results.",False,True,,Railway services,0,1.0,not spam,bad,ChIJGykJTU4Z2jERZZXRzNiRXLs,https://maps.google.com/?cid=13500826143285155173&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment"
Marina Bay Sands Casino,"After chasing down a drinks waiter, I was enjoying a really good Long Island iced tea, playing the pokies.  When I requested a second I was told casino policy - one drink per hour.  Cashed in and left.",False,False,,Casino,0,1.0,not spam,bad,ChIJTzCCaz0Z2jERx_S17pyhem8,https://maps.google.com/?cid=8032910580760573127&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.1,"casino, point_of_interest, establishment"
