title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,spam_label,sentiment_label,id,url,rating,types,policy_label
Coronation Shopping Plaza,Charm upon this really good Academy at level 3 of this mall! Kim & You Academy is the top 3 best tuition centres in the entire clementi and I am glad they open another branch here in Bukit Timah! I am signing my children up for lessons here!!,FALSE,TRUE,,Shopping mall,0,5,not spam,good,ChIJ08duKAYa2jER47-5U4ZdgAo,https://maps.google.com/?cid=756707568909926371&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.9,"shopping_mall, point_of_interest, establishment",positive_review
Dakota MRT Station (CC8),I like how nice the platform doors are and how shiny and the same design as Tai Seng,FALSE,TRUE,,Railway services,0,5,not spam,good,ChIJr36MxgkZ2jER7U1scqQWtGY,https://maps.google.com/?cid=7400564983226715629&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"point_of_interest, establishment",positive_review
Decathlon - Bedok,I was serve by Eileen and she is very helpful  in the clothes and pants that I am sourcing for my kids. She has been very supportive as I have difficulty in making payment and finally she has resolved for me. Cheers and well done! She deserves a good pat!,FALSE,TRUE,,Sporting goods store,0,5,not spam,good,ChIJ37CzvJ4Z2jERYklcmCHmMUc,https://maps.google.com/?cid=5130134482516199778&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"sporting_goods_store, bicycle_store, clothing_store, store, point_of_interest, establishment",positive_review
Decathlon - Bedok,Decathlon staff Azree was very prompt in assisting us with payment issues via self check out. Able to multi task between work and small talks with his customer. Making them feel at ease.,FALSE,FALSE,,Sporting goods store,0,5,not spam,good,ChIJ37CzvJ4Z2jERYklcmCHmMUc,https://maps.google.com/?cid=5130134482516199778&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"sporting_goods_store, bicycle_store, clothing_store, store, point_of_interest, establishment",positive_review
Dempsey Hill,"It's one of the cosy places where u can get the best waffles if you are a dessert fan. And also, every Wed and Thurs ladies night with good pricing...highly recommended - you come once, you will come twice.",FALSE,FALSE,,Restaurant,0,5,not spam,good,ChIJr84_RCMa2jERW466IPXbCec,https://maps.google.com/?cid=16648079343414316635&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"restaurant, food, point_of_interest, establishment",positive_review
Durian 36,We had our team building event here today and it was a fantastic experience. The MSW was  fresh and delicious. The venue was comfortable with air conditioning. Alvin and Jane are very responsive l. Highly recommended for anyone looking for nice durian and cool place to gather.,FALSE,FALSE,,Fruit and vegetable store,0,5,not spam,good,ChIJx9jHrD0Y2jERm8A6Fu1kKgc,https://maps.google.com/?cid=516336076730319003&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"food_store, store, food, point_of_interest, establishment",positive_review
Durian 36,"Had an amazing team building at Durian 36! The durians were fresh, creamy, and delicious. Plus, the air-conditioned stall made it super comfortable to enjoy in the heat. Great service and perfect for group gatherings. Highly recommend!",FALSE,FALSE,,Fruit and vegetable store,0,5,not spam,good,ChIJx9jHrD0Y2jERm8A6Fu1kKgc,https://maps.google.com/?cid=516336076730319003&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"food_store, store, food, point_of_interest, establishment",positive_review
Dyson Global Headquarters,Excellent services from the sales team- credit to Eugene for a his professional knowledge and intelligent communication/presentation . We have impressed what Dyson cares for professionals and consumers . Thumbs up 👍🏻👍🏻👍🏻,FALSE,FALSE,,Corporate office,0,5,not spam,good,ChIJWUrZuc0Z2jERAtxWnHRcbLU,https://maps.google.com/?cid=13072925474258607106&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,2.3,"corporate_office, point_of_interest, establishment",positive_review
East Coast Commune,"Commune at East Coast is a true gem. Cozy atmosphere, great menu, and the kind of place that makes you want to stay a little longer. But what truly made our visit exceptional was the amazing service by Teddy.

From the moment we stepped in, Teddy welcomed us with a bright smile and genuine warmth. His cheerful nature instantly lifted our mood, and throughout the meal, he remained attentive, friendly, and full of positive energy. It’s rare to come across someone who clearly enjoys what they do and makes every guest feel special.

The coffee was spot-on, and the food was fresh and satisfying/comforting without being too heavy. The overall experience was made even better by the relaxed, welcoming vibe of the space.

Highly recommend Commune at East Coast, and if you’re lucky enough to be served by Teddy, you’re in for a real treat!",FALSE,TRUE,,Cafe,0,5,not spam,good,ChIJVwlS_k0Z2jER7Di5t1WgS2s,https://maps.google.com/?cid=7731449475326621932&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"cafe, event_venue, restaurant, point_of_interest, food, establishment",positive_review
East Coast Commune,"We love this restaurant / cafe. Dogs and cats friendly. Friendly service staff. Great food - must try is the soft shell crab spaghetti. Espresso is perfect as an after meal. We highly recommend this place for good food, coffee, and pet friendly. 💯",FALSE,TRUE,,Cafe,0,5,not spam,good,ChIJVwlS_k0Z2jER7Di5t1WgS2s,https://maps.google.com/?cid=7731449475326621932&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"cafe, event_venue, restaurant, point_of_interest, food, establishment",positive_review
East Coast Park,"Best beach you can find in Singapore, plenty of parking lots, restaurant and cafe, pet friendly too.
The park was beautiful and there were many tables and bench for resting.
You can rent bicycles here to cycle along the coaster.
The road was built wide enough for an enjoyable ride, you will feel safe as they are separated from the walking pavement.
Along the way you can find restaurant,  cafe, children playground and toilets for your needs.
There are areas for camping and bbq, and it is definitely a good place for family gatherings.",FALSE,TRUE,,Park,0,5,not spam,good,ChIJ0QX_Brki2jER-pZKNdqk_a8,https://maps.google.com/?cid=12681473382849091322&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"park, tourist_attraction, point_of_interest, establishment",positive_review
East Coast Park,"The beach park itself was beautiful. But what I loved even more was riding a bike along the wide, well-maintained paths.
It felt calm and free.

Singapore is such a bike-friendly city. Bike lanes are clearly marked, traffic is light, and drivers are incredibly respectful.
You really feel safe on the road, which makes the whole experience even more enjoyable.

The sunlight, the shadows, and the green from the trees blended together so perfectly.
fresh, peaceful, and just quietly beautiful.",FALSE,TRUE,,Park,0,5,not spam,good,ChIJ0QX_Brki2jER-pZKNdqk_a8,https://maps.google.com/?cid=12681473382849091322&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"park, tourist_attraction, point_of_interest, establishment",positive_review
East Coast Park Area C,"Start walking from this area and then all the way till the Gardens by the bay… got camping, barbecue, beach tennis… nice place for family and friends. Single also enjoys the beach and water here.",FALSE,TRUE,,Park,0,5,not spam,good,ChIJ11egVBgZ2jERxsNsAV4oq54,https://maps.google.com/?cid=11433276463226078150&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"park, point_of_interest, establishment",positive_review
East Coast Park BBQ Pit C12,"A very nice area of the east coast park to enjoy BBQ with friends! I joined my friends for their birthday party and it was super fun. It's close to multiple human made beaches, one of them has lots of beach area..",FALSE,TRUE,,Barbecue area,0,5,not spam,good,ChIJa9KPzaoZ2jERVgrvBFr_wBQ,https://maps.google.com/?cid=1495475838381918806&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"barbecue_area, point_of_interest, establishment",positive_review
East Coast Park BBQ Pit C12,"East Coast Park is a beach and a park on the southeastern coast of Singapore. Visitors can explore two cycling circuits - Learner Circuit and Advanced Circuit - which allow beginners and experienced cyclists to practise various techniques. It’s a great place to just sit back and relax too, with no shortage of restaurants, bars and cafes along the beaches to sip on a cocktail or grab a bite. Keep it simple and have a picnic with family and friends by the beach under the swaying coconut palms and casuarinas.",FALSE,TRUE,,Barbecue area,0,5,not spam,good,ChIJa9KPzaoZ2jERVgrvBFr_wBQ,https://maps.google.com/?cid=1495475838381918806&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"barbecue_area, point_of_interest, establishment",positive_review
Elementum Parking,Modernized office space in Buona Vista next to Metropolis tower… stylish architecture with glass panels and greenery around..,FALSE,TRUE,,Corporate office,0,5,not spam,good,ChIJX0ZjawAb2jERNrvnhPFXemU,https://maps.google.com/?cid=7312253639817935670&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"corporate_office, point_of_interest, establishment",positive_review
Enterprise One,A good place to take courses or work. Food court at Level 1 sell delicious Muslim food. It is also assesible as there are many buses that stop at the busstop just 3mins walk away.,FALSE,FALSE,,Business center,0,5,not spam,good,ChIJqUKFh_AX2jERDLl7AvYWBoI,https://maps.google.com/?cid=9369201320650324236&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"real_estate_agency, point_of_interest, establishment",positive_review
Enterprise One,"Badrul has been very helpful in assisting me with printer connections and problem-solving issues; Francis attends to my enquiries very promptly and I appreciate that a lot.

Please hire more staff like these two gentlemen :)",FALSE,FALSE,,Business center,0,5,not spam,good,ChIJqUKFh_AX2jERDLl7AvYWBoI,https://maps.google.com/?cid=9369201320650324236&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"real_estate_agency, point_of_interest, establishment",positive_review
"Esplanade - Theatres on the Bay, Singapore",Food’s a bit slow but it’s worth to wait. Taste and everything is good. Well I guess good food is worth to wait 😂,FALSE,TRUE,,Performing arts theater,0,1,not spam,good,ChIJSeUa7KcZ2jERNVg2CvmlVbk,https://maps.google.com/?cid=13354762759073847349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"performing_arts_theater, tourist_attraction, event_venue, point_of_interest, establishment",positive_review
"Esplanade - Theatres on the Bay, Singapore","A truly iconic place in Singapore!

As someone who enjoys music, culture, and peaceful scenic spots, I really love visiting the Esplanade. Whether I’m here to catch a show, meet friends, or just unwind by the bay, this place always feels special.

The architecture alone is something else — that “durian” look always catches the eye. Inside, the concert halls are world-class. Great sound, comfortable seating, and you really feel immersed in the performance. I once caught a live performance here and it gave me goosebumps.

What I also like is that the whole area outside is super relaxing. You get an amazing view of Marina Bay Sands, and the vibe at night is peaceful and inspiring. There are often buskers and pop-up art displays, which makes the walk around even more lively.

Perfect spot for both tourists and locals like me who just need a break from the city buzz without going too far. Highly recommended if you’re into the arts or just want a chill evening with beautiful views.",FALSE,TRUE,,Performing arts theater,0,5,not spam,good,ChIJSeUa7KcZ2jERNVg2CvmlVbk,https://maps.google.com/?cid=13354762759073847349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"performing_arts_theater, tourist_attraction, event_venue, point_of_interest, establishment",positive_review
"Esplanade - Theatres on the Bay, Singapore","my favorite place to spend a Saturday night. Great free performances, the waterfront and beautiful bright lights, what's there not to like.",FALSE,TRUE,,Performing arts theater,0,5,not spam,good,ChIJSeUa7KcZ2jERNVg2CvmlVbk,https://maps.google.com/?cid=13354762759073847349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"performing_arts_theater, tourist_attraction, event_venue, point_of_interest, establishment",positive_review
euHabitat,"Very nice condo:-
- amazing landscape and greenery
- nice swimming pool, total more than 10 pools
- low density property, with nice townhouse
- near 3 MRT stations and lots of buses at doorsteps
- car park well designed and spacious.",FALSE,FALSE,,Condominium complex,0,5,not spam,good,ChIJrVSO7_gX2jERP4Ho2AQ_JC8,https://maps.google.com/?cid=3396909308995731775&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"condominium_complex, point_of_interest, establishment",positive_review
Eunos MRT Station (EW7),"Easily accessible, this place also has a nice train spotting location for trainspotters.
Market and nearby amenities just at the exit and very senior friendly!",FALSE,FALSE,,Railway services,0,5,not spam,good,ChIJ9RI97esZ2jER4IlsLkJ8EHc,https://maps.google.com/?cid=8579493913829345760&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"point_of_interest, establishment",positive_review
F61 Taxi Stand,It's a great 😃,FALSE,FALSE,,Taxicab Stand,0,5,not spam,good,ChIJ79WJnE8Z2jERdwMpv7aHzhk,https://maps.google.com/?cid=1859572915111527287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,5,"taxi_stand, point_of_interest, establishment",positive_review
F61 Taxi Stand,It's a great 😃,FALSE,FALSE,,Taxicab Stand,0,5,not spam,good,ChIJ79WJnE8Z2jERdwMpv7aHzhk,https://maps.google.com/?cid=1859572915111527287&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,5,"taxi_stand, point_of_interest, establishment",positive_review
FairPrice Finest Marine Parade Central,"This branch was a pleasant surprise. It is remarkably spacious. The variety of groceries available is impressive, with many items that are hard to find elsewhere. They even have a Singapore Pool Kiosk on the basement floor.",FALSE,TRUE,,Grocery store,0,5,not spam,good,ChIJ7-fvFXEY2jERF81XESohPJ0,https://maps.google.com/?cid=11329967227120635159&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"grocery_store, food_store, store, point_of_interest, food, establishment",positive_review
Far East Plaza,"Far East Plaza is an old shopping mall.
There is plenty of shops and restaurants.
Mostly hair salons, facial beauty, Eyelash extension and many other shops and a food court opened few months ago... Nice selection of menu..and of course 711, KFC...",FALSE,TRUE,,Shopping mall,0,5,not spam,good,ChIJPZTUpZIZ2jERk5GUzK_g9_0,https://maps.google.com/?cid=18300342656499487123&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"shopping_mall, point_of_interest, establishment",positive_review
Far East Plaza,I’ve been to Simetri three times now and I have enjoyed their classes a lot! My husband has joined me and he is also enjoying it! Patrick is a great teacher! ☺️,FALSE,TRUE,,Shopping mall,0,5,not spam,good,ChIJPZTUpZIZ2jERk5GUzK_g9_0,https://maps.google.com/?cid=18300342656499487123&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"shopping_mall, point_of_interest, establishment",positive_review
Farrer Road MRT Station (CC20),"Farrer park mrt
Rating 4.6

Sylvia Ang known as Ang Lay Kheng.
The purple line from
Serangoon to Farrer Park, 9 mins. There are signs to exit. I have to take exit I to City Square Mall to
MacDonald. Exit H to Mustafa.

It's great to explore the exit at Farrer Park",FALSE,TRUE,,Railway services,0,5,not spam,good,ChIJw6y2Nnwb2jERMKYEFs5HqS8,https://maps.google.com/?cid=3434355141304952368&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"point_of_interest, establishment",positive_review
Fort Road Carpark,"Scenic views with a peaceful atmosphere.Perfect for relaxation and exercise.
A great route for walkers/joggers  and cyclists.
Carpark is free and ample parkings , making it an attractive option for visitors.
There are also shower facilities nearby for joggers after their run.",FALSE,FALSE,,Parking lot,0,5,not spam,good,ChIJmaL1jVsY2jERMjX6o9jEg6k,https://maps.google.com/?cid=12214823049101980978&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.8,"parking, point_of_interest, establishment",positive_review
Fort Serapong,Its definitely one of the historical place that worth visiting. Won't consume much of the time or energy. I've tried my best to take as much picture I could for information purpose for the readers. Hope it helps!,FALSE,TRUE,,Historical landmark,0,5,not spam,good,ChIJ64jZU6Mf2jERuOpSam1xH2g,https://maps.google.com/?cid=7502840218971728568&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"historical_landmark, historical_place, point_of_interest, establishment",positive_review
"Four Points by Sheraton Singapore, Riverview","Very well managed hotel with superb breakfast. Location on River Walk is awesome. Full service restaurants inside and nice bar area. As an American visitor, when visiting a foreign location for the first time, the welcome was warm and considerate. Highly recommend and many families as guests too. The general manager introduced herself and offered many helpful hints.",FALSE,FALSE,,Hotel,0,5,not spam,good,ChIJsQwdhJ0Z2jERKONZRyuGDOo,https://maps.google.com/?cid=16865002225034453800&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"hotel, lodging, point_of_interest, establishment",positive_review
"Four Points by Sheraton Singapore, Riverview","Excellent Service and Thoughtful Hospitality from the Hotel.
I had a wonderful experience at the hotel. They truly understand the needs of long-stay guests and offered a very good rate, which was greatly appreciated. Additionally, they accommodated me comfortably and even provided an extra breakfast coupon for my wife who stayed with me. I especially want to extend my gratitude to Senior Duty Manager Ms. Sandi Aung for her excellent support and hospitality. Highly recommended!",FALSE,FALSE,,Hotel,0,5,not spam,good,ChIJsQwdhJ0Z2jERKONZRyuGDOo,https://maps.google.com/?cid=16865002225034453800&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"hotel, lodging, point_of_interest, establishment",positive_review
Fourth Avenue Residences,"Just went to recently TOP Fourth Avenue Residences,

Pro: Layout is efficient, 3 and 4 bedder very good sized, pool view is majestic. Children playground is major plus for families with kids and multiple side gates connect to Sixth Avenue MRT. Overall attributes better than nearby Royal green

Con: Triangular land plot limit the landscape and facilities but developer did well to overcome limitation. Price has high premium over its FH resale peers, no transformation in area so may need to wait for Turf city site to be launched",FALSE,TRUE,,Condominium complex,0,5,not spam,good,ChIJsdsas2ER2jERStdWxVuqeWU,https://maps.google.com/?cid=7312062781142259530&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.1,"condominium_complex, point_of_interest, establishment",positive_review
Furama RiverFront,"I booked courtyard theme room in Furama River front . This room is bigger with a outside sitout area with water and fish. Had direct access to pool from sitout. My family liked the room. The hospitality was nice from all the staff. Especially, Mr.Iskander and Mr.Faizal made it very special with exceptional care and hospitality. They were very friendly and gave us lots of tips to visit places in singapore since this was our 1st trip to country. I recommend Furama river front and everyone must talk to Me.Iskander and Mr.Faizal i would say .",FALSE,FALSE,,Hotel,0,5,not spam,good,ChIJzd9lsXcZ2jERXheJEyUMnpM,https://maps.google.com/?cid=10636952723276765022&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"hotel, lodging, point_of_interest, establishment",positive_review
Furama RiverFront,"**Our First Experience with Little Hoteliers, Big Adventures**

We joined *Little Hoteliers, Big Adventures* for the first time—a one-day June holiday camp where children get to experience a fun-filled day of activities, carefully planned by the team.

Upon arrival, we were warmly greeted by the staff (Winnie and Mae), who made us feel welcome. My child enjoyed an hour of free play at the Waka Waka indoor playground before the event officially began.

The activities were well-structured and engaging, though time management could be slightly improved. My daughter loved making her own pizza and eating it for lunch afterward. Later, the group moved to the ground level, where the staff demonstrated how to check in at a hotel—a fun and interactive experience for the kids.

The highlight for my child was the slime-making session! It was her first time creating slime, and she was amazed by how much effort it required. She was especially thrilled to see such a large bubble slime—the smile and wonder on her face were priceless.

I’d also like to extend a **BIG thank you** for the surprise birthday cake for my daughter, whose birthday fell on the same day as the camp. She was completely surprised when everyone sang for her—it made her day extra special!

When I asked if she’d like to attend again next year, she immediately said, **“YES!”**

Thank you to the entire team for your hard work and dedication in making this holiday camp so memorable!",FALSE,FALSE,"Hi Evelyn Lee,

Thank you so much for your kind words! We're thrilled to hear that you and your daughter enjoyed Little Hoteliers, Big Adventures. It’s wonderful to know the activities, especially the slime-making and birthday surprise, made the day extra special.

We’ll be sure to pass your kind feedback along to Winnie and Mae. We truly appreciate your support and hope to welcome you both again next year!

Warm regards,
Guest Engagement Team",Hotel,0,5,not spam,good,ChIJzd9lsXcZ2jERXheJEyUMnpM,https://maps.google.com/?cid=10636952723276765022&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"hotel, lodging, point_of_interest, establishment",positive_review
