title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,Unnamed: 9,spam_label,sentiment_label,id,url,rating,types
Singapore Oceanarium,Amazing place. Really worth an evening to take your time and browse through the exhibits. A bit too vast to go with young kiddos as they get tired quickly. You need at least 4 hours to explore the entire oceanarium. The open ocean was truly mind blowing! More interactive displays would make the experience more appealing to kids.,False,True,,Aquarium,0,5,,not spam,good,ChIJj-3Cq_0b2jERJv2MBkSVsPQ,https://maps.google.com/?cid=17631756660555709734&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"aquarium, tourist_attraction, point_of_interest, establishment"
Singapore Oceanarium,"I’ve been living in Singapore for the past four years, but this was my first time visiting the Singapore Oceanarium, and it was truly magical. Perhaps the universe was waiting for me, it  just reopened after renovations with some exciting new additions, making the experience even more special.

Walking through, I was mesmerized by the incredible variety of marine life—from tiny blue fishes to majestic whales, starfish, stingrays, jellyfish, and of course Nemo and Dory. Each creature was unique, showing me that everyone, big or small, has their own beauty and place in the world. It was calming, grounding, and made me fall in love with nature all over again.

For anyone visiting Singapore, this is a must-see! The combination of serene underwater beauty, thoughtful renovations, and the magic of nature makes it an unforgettable experience.",False,True,,Aquarium,0,5,,not spam,good,ChIJj-3Cq_0b2jERJv2MBkSVsPQ,https://maps.google.com/?cid=17631756660555709734&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"aquarium, tourist_attraction, point_of_interest, establishment"
Resorts World Sentosa,"Overall a great place to stay for comfort, service and location  Nice size room. We had our 15 year old granddaughter with us and the room was not cluttered. It actually had a double and two singles. The TV wasn't great but we hardly watched. The location is close to a free bus stop and over the road from Universal but you need to get the bus to get to the entrance which is just a short drive. The hotel also has a shuttle to the large mall. We added breakfasts for a low price and they were excellent, a full buffet of choice. We had dinner twice and the food was nice although maybe a bit pricey compared to some options and portions. There's a nice pool on the roof with a view although it was closed for maintenence without warning the night we wanted to watch the light show and there's lovely big pools a short walk (dream pool) for laps and relaxing. Room service was great and they also arranged taxis and shuttles on request and stored our bags for the day on check out so we could still explore. Overall very satisfied for price and location. Front desk very polite and efficient.",False,False,,Resort hotel,0,5,,not spam,good,ChIJLR75v_0b2jERJrR28stYwMU,https://maps.google.com/?cid=14249486853969720358&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"resort_hotel, tourist_attraction, aquarium, casino, hotel, lodging, point_of_interest, establishment"
Resorts World Sentosa,"Overall a great place to stay for comfort, service and location  Nice size room. We had our 15 year old granddaughter with us and the room was not cluttered. It actually had a double and two singles. The TV wasn't great but we hardly watched. The location is close to a free bus stop and over the road from Universal but you need to get the bus to get to the entrance which is just a short drive. The hotel also has a shuttle to the large mall. We added breakfasts for a low price and they were excellent, a full buffet of choice. We had dinner twice and the food was nice although maybe a bit pricey compared to some options and portions. There's a nice pool on the roof with a view although it was closed for maintenence without warning the night we wanted to watch the light show and there's lovely big pools a short walk (dream pool) for laps and relaxing. Room service was great and they also arranged taxis and shuttles on request and stored our bags for the day on check out so we could still explore. Overall very satisfied for price and location. Front desk very polite and efficient.",False,False,,Resort hotel,0,5,,not spam,good,ChIJhVF18lQZ2jERA5C_EHKdiAo,https://maps.google.com/?cid=759029650444750851&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"bus_stop, transit_station, point_of_interest, establishment"
Resorts World Sentosa,I visit this place with my cousin for Harry Potter vision of magic. It was great that we got great mini bar and the walking distance to all connected place feel amazing. They got great choice of food that we can purchased from in hotel lobby even for after hours. Great gym as well,False,True,,Resort hotel,0,5,,not spam,good,ChIJLR75v_0b2jERJrR28stYwMU,https://maps.google.com/?cid=14249486853969720358&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"resort_hotel, tourist_attraction, aquarium, casino, hotel, lodging, point_of_interest, establishment"
Resorts World Sentosa,I visit this place with my cousin for Harry Potter vision of magic. It was great that we got great mini bar and the walking distance to all connected place feel amazing. They got great choice of food that we can purchased from in hotel lobby even for after hours. Great gym as well,False,True,,Resort hotel,0,5,,not spam,good,ChIJhVF18lQZ2jERA5C_EHKdiAo,https://maps.google.com/?cid=759029650444750851&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"bus_stop, transit_station, point_of_interest, establishment"
Skyline Luge,"Good place to spend time with family and kids. The chairlift ride up gives you a great view of the island, and the luge itself is just pure fun! There are a few tracks to choose from, each with slight differences in speed and turns. The Night Luge was especially cool, zooming down with colorful lights all around felt like something out of a video game.

The staff didn’t seem very approachable since it was our first time, we had a few questions, but they didn’t appear very willing to help",False,True,,Tourist attraction,0,5,,not spam,good,ChIJs1Hr6f4b2jER3t3uRzo5IgE,https://maps.google.com/?cid=81690665723813342&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"tourist_attraction, point_of_interest, establishment"
Skyline Luge,SO MUCH FUN!  A MUST DO!! Prices were good for this.  Felt like I was in Mario Kart.  Brilliant for all ages and the added bonus of coming back every time of a ski life type trip to do the luge all over again.  This is family fun!!,False,True,,Tourist attraction,0,5,,not spam,good,ChIJs1Hr6f4b2jER3t3uRzo5IgE,https://maps.google.com/?cid=81690665723813342&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"tourist_attraction, point_of_interest, establishment"
Alexandra Retail Centre (ARC),"Dropped by here for a meal at one of the establishments. You can arrive here by walking an overhead bridge that connects from Labrador Park MRT station.

This Retail Centre is pretty large, with an extensive space in the middle of the mall. There are a variety of shops here, including restaurants and supermarkets (like NTUC).

Overall, a good place for you to roam with your family and friends!",False,True,,Shopping mall,0,5,,not spam,good,ChIJwz3yHMEb2jERHclcbs5KL4A,https://maps.google.com/?cid=9236683611235469597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"shopping_mall, point_of_interest, establishment"
Alexandra Retail Centre (ARC),Transportation is quite convenient and easy to access. Lots of stores are available to buy groceries and also there are various food shops.,False,True,,Shopping mall,0,5,,not spam,good,ChIJwz3yHMEb2jERHclcbs5KL4A,https://maps.google.com/?cid=9236683611235469597&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"shopping_mall, point_of_interest, establishment"
Wings of Time Fireworks Symphony,"Wings of Time is a spectacular outdoor night show that blends lights, water, fire, and music into a magical experience. It’s truly worth it for all age groups from kids to adults, everyone will be mesmerized. The storytelling and visuals are captivating, especially for children who’ll absolutely love it. Set by the sea, the atmosphere adds to the charm and wonder. A must-visit if you’re in Singapore!",False,True,,Tourist attraction,0,5,,not spam,good,ChIJ3f__j_kb2jERYEEHaAfmcB8,https://maps.google.com/?cid=2265563532051824992&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"tourist_attraction, point_of_interest, establishment"
Wings of Time Fireworks Symphony,"A beautiful show with fireworks, water, and light effects. Reservation is required, and it’s highly recommended to book the VIP section for the best view. I definitely recommend it.",False,True,,Tourist attraction,0,5,,not spam,good,ChIJ3f__j_kb2jERYEEHaAfmcB8,https://maps.google.com/?cid=2265563532051824992&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"tourist_attraction, point_of_interest, establishment"
Singapore Cable Car,Great way to travel to Sentosa Island ! We got on at the Harbour front stop but went on both lines throughout the day. The ticket is excellent value for money because you could ride all day. The view from the cable cars is excellent and definitely should not be missed,False,True,,Mountain cable car,0,5,,not spam,good,ChIJAQAAAK0e2jERMFQeIT5IR-E,https://maps.google.com/?cid=16233022813561050160&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"tourist_attraction, point_of_interest, establishment"
Singapore Cable Car,"fun way to get to Sentosa Island. bought tickets from Klook, we got 1 roundtrip tickets on both Sentosa and Mt Faber line. the staff were nice because we missed our stop in the Sentosa line (forgot the we had to alight at Imbiah lookout as I was waiting for Harbourpoint 😅) and ended up completing 1 full circle.",False,True,,Mountain cable car,0,5,,not spam,good,ChIJAQAAAK0e2jERMFQeIT5IR-E,https://maps.google.com/?cid=16233022813561050160&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"tourist_attraction, point_of_interest, establishment"
Resorts World Sentosa Casino,"🔴🌿 Resorts World Sentosa Casino
➖️  8 Sentosa Gateway, Singapore 098269

🟧 My husband and I visited the Resorts World Sentosa Casino entrance during our day at Sentosa.

➡️ As Singaporeans, we chose not to enter, because there’s a mandatory entry levy of SGD150 per person for locals and permanent residents — which can add up quickly if you’re just curious to take a look inside.

🟪 Foreigners and tourists, however, can enter for free by showing their passports — definitely something to keep in mind if you’re visiting from overseas and want to try your luck.

🟦 We only check out the entrance area and facade, which looks impressive and grand, and took some photos of the nearby transport signs and drop-off points for future reference.

🟠 The casino is centrally located within Resorts World Sentosa, so it’s easy to find if you’re already exploring nearby attractions like Universal Studios Singapore, the Singapore
Oceanarium or Weave Mall.

⚫️ Even though we didn’t go in, it was interesting to see the buzz around the entrance. 🟪 If you’re a tourist and enjoy casinos, it’s a convenient stop in the heart of Sentosa’s entertainment zone.

🟨 1st Aug 2025 Friday",False,True,,Casino,0,5,,not spam,good,ChIJPeDOF0kb2jERaAH6HhwdcuQ,https://maps.google.com/?cid=16461251594608574824&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"casino, point_of_interest, establishment"
Resorts World Sentosa Casino,Harvest Mall is located inside RWS casino. Free meal for VIP member. Food is good and great environment. Only thing is this meal might cost you a fortune.,False,True,,Casino,0,5,,not spam,good,ChIJPeDOF0kb2jERaAH6HhwdcuQ,https://maps.google.com/?cid=16461251594608574824&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"casino, point_of_interest, establishment"
mTower,"Macdonald, M Tower
Rating ,5

Syllvia Ang known as Ang Ley Kheng visited Macdonald. Ordered chicken prosperity feast. Had curly fries. pineapple pie. Large coke. burger got spicy sauce. The curly fries has a festive mood. The pineapple pie is sweet.

Is not very crowd. Will come again if I am this area.",False,True,,Business center,0,5,,not spam,good,ChIJyz5ehmAb2jEROk7mVTYgGCg,https://maps.google.com/?cid=2889094578699652666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"corporate_office, point_of_interest, establishment"
mTower,"Official building, with several key offices situated within. An old but still a key landmark in the cluster of newer buildings in the past decade or so.",False,True,,Business center,0,5,,not spam,good,ChIJyz5ehmAb2jEROk7mVTYgGCg,https://maps.google.com/?cid=2889094578699652666&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"corporate_office, point_of_interest, establishment"
Travelodge Harbourfront,"From the moment we arrived, we were welcomed with warm smiles and outstanding service. The entire hotel staff was incredibly attentive, friendly, and professional. The rooms were clean, comfortable, and well-maintained, making our stay truly relaxing and enjoyable.||A special shoutout to Supervisor Cella, who went above and beyond to ensure everything was perfect. Her attention to detail, kindness, and genuine care for guests really stood out. She made us feel valued and at home, and we truly appreciated her thoughtful gestures throughout our stay.||We can’t thank the team enough for such a wonderful experience. We’ll definitely be coming back and recommending this hotel to our friends and family!|",False,False,,Hotel,0,5,,not spam,good,ChIJhQsgLl8Z2jER_ewMvV5K6p8,https://maps.google.com/?cid=11523104367339957501&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"hotel, lodging, point_of_interest, establishment"
Travelodge Harbourfront,"Check in on 26/6 and checked out today. Booked the deluxe plus queen room. I really enjoyed my stay here. The room is clean, cosy and the bed is comfy. Pretty quiet with the nature surrounding and opposite is vivocity. It's very convenient. The service staffs is polite and friendly. However, there were some hiccups. The room door couldn't open despite them changing the tap key card. I really hope moving forward they can fix this as some guests they wouldn't have the patience to wait (due to jetlag) or they just want to quickly rest. For me, I'm fine with it as its just a night stay. And the receptionist was very apologetic and let us have late check out. I highly recommend this place for get away. But same time I hope the issue of the door is fixed. 😊",False,True,"Dear Mr. Aaron, 

Thank you so much for your kind review. 

We are happy to hear that you have enjoyed your stay at Travelodge. It truly delights to learn that you have our service standards have met your expectations. 

Nevertheless, we are sorry for the inconvenience our door reader has caused during your stay. We appreciate your feedback as it helps us to review and continuously improve our facilities and guest experience. 

Thank you for your kind words and we look forward to welcoming you back in the future. 

Till then, take care and stay safe! ",Hotel,0,5,,not spam,good,ChIJhQsgLl8Z2jER_ewMvV5K6p8,https://maps.google.com/?cid=11523104367339957501&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"hotel, lodging, point_of_interest, establishment"
Labrador Tower,"Cool looking new building at a very exciting development area of the Greater Southern Waterfront.

The rent there must be quite high, probably higher then some CBD buildings.
Wondering which are the companies who can afford to move into such a space?

Would be cool if somebody can show a list of the neighbors there!",False,False,,Corporate office,0,5,,not spam,good,ChIJ7bOWWUIb2jERuJLxuUVP3Ho,https://maps.google.com/?cid=8853038128394506936&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.6,"corporate_office, point_of_interest, establishment"
Labrador Tower,Giving a 5 star rating to counter all the angry people who gave a construction site 1 star (how empty and sad must their lives be...),False,True,,Corporate office,0,5,,not spam,good,ChIJ7bOWWUIb2jERuJLxuUVP3Ho,https://maps.google.com/?cid=8853038128394506936&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.6,"corporate_office, point_of_interest, establishment"
Village Hotel Sentosa,"My first time here at the Village Hotel Sentosa and I must say it was exceptionally wonderful. I want to express how grateful and pleasant my experience here especially during the busy check in period. Yes there was a q but all the front desk officer were diligently assisting all the guest. My heartfelt gratitude goes to Amirah and her colleague Belle for making my checking in process seamless and efficient even though one of our rooms were not ready. Amirah was welcoming, clear and helpful. The exceptional service came in place when team work attributes were displayed between Amirah and Belle. Belle who was forthcoming and informative ensured that I was well aware of the busy events that was happening during that day. I hope the hotel management notice their professionalism and they are indeed an example and expectation of a hotelier.  Big Thank You VHS for the wonderful officers you have!",False,False,,Hotel,0,5,,not spam,good,ChIJnaclKngb2jERIZvtEgenn8w,https://maps.google.com/?cid=14744687353858464545&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"hotel, lodging, point_of_interest, establishment"
Village Hotel Sentosa,"We stayed at Village Hotel Sentosa for our 20th wedding anniversary, and I have to say that Shah and Aishwini made it extra special for us. They kindly upgraded our room to one with a beautiful sea view and even surprised us with a lovely congratulatory note and some macarons. It was such a thoughtful gesture!||On top of that, their warm welcome and helpful guidance throughout our stay really stood out. Among all our travels, they are definitely some of the kindest and most memorable hotel staff we’ve ever met. Big thanks to both Shah and Aishwini for making our anniversary stay truly unforgettable.",False,False,,Hotel,0,5,,not spam,good,ChIJnaclKngb2jERIZvtEgenn8w,https://maps.google.com/?cid=14744687353858464545&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"hotel, lodging, point_of_interest, establishment"
"Shangri-La Rasa Sentosa, Singapore","Our entire family stayed at this beautiful hotel back in March, and we absolutely loved it! The serene atmosphere, abundant wildlife, and spacious swimming pool made it a truly memorable stay. The breakfasts were unbelievably delicious… some of the best we have had. I would definitely return here when I'm back in Singapore.",False,True,"Dear Da P,

Thank you for the positive review. We are glad to hear your compliments on our family-friendly facilities and breakfast buffet. We look forward to welcoming you back to Shangri-La Rasa Sentosa, Singapore again!

Yours sincerely,
Markus Christ
General Manager",Resort hotel,0,5,,not spam,good,ChIJ7aFemPAb2jERQTmgdV0wbLM,https://maps.google.com/?cid=12928761808237377857&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"resort_hotel, hotel, lodging, point_of_interest, establishment"
"Shangri-La Rasa Sentosa, Singapore",Beautiful hotel the rooms are really nice and clean housekeeping are great they even lined up my sons teddies on the bed he loved that. There are washing machines/dryers for use for free including washing powder which is great when travelling. Kid club is awesome my son really enjoyed it. Great place to stay with kids with water slides and pool games. There’s a few peacocks at the resort and huge monitor lizards. There is ping pong and billiards. Very family friendly and the front desk staff and concierge are very good.,False,False,,Resort hotel,0,5,,not spam,good,ChIJ7aFemPAb2jERQTmgdV0wbLM,https://maps.google.com/?cid=12928761808237377857&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"resort_hotel, hotel, lodging, point_of_interest, establishment"
Labrador Nature Reserve,"Went for a walk on Sunday evening and it turned out to be such a peaceful and relaxing time. The park was quiet, which made it even nicer. Caught the sunset while strolling and it was absolutely beautiful. The breeze, the calm vibes, and the golden light made the whole experience feel like a perfect little break from the city rush. Would definitely come back again for another slow evening walk.",False,True,,Nature preserve,0,5,,not spam,good,ChIJoy3rj-sb2jERA_wMVazFAiI,https://maps.google.com/?cid=2450738491194932227&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"park, point_of_interest, establishment"
Labrador Nature Reserve,"My wife and I went for a jog from our place all the way to the beautiful Labrador Nature Reserve, and it was an incredible experience. The moment we arrived, we were surrounded by lush greenery on one side and the calming sea on the other truly a breathtaking contrast that made the jog even more rewarding.

What makes this spot even more special is the view of the Singapore Cable Car gliding smoothly across the sky in the distance, adding a touch of charm to the already stunning scenery. Whether you’re looking for a peaceful walk, a scenic jog, or just a relaxing time with nature, Labrador Nature Reserve is definitely worth the visit.",False,True,,Nature preserve,0,5,,not spam,good,ChIJoy3rj-sb2jERA_wMVazFAiI,https://maps.google.com/?cid=2450738491194932227&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"park, point_of_interest, establishment"
Adventure Cove Waterpark,"A fantastic waterpark in Sentosa where you can spend the entire day there. There are lots of slides and water activities for everyone, from the young to the old. Some rides do have a height and weight restriction. There are lockers where you can put your items away and they have different sizing options. The popular rides are the different slides, wave pool, river ride (where you’ll experience random waves, splashes and underwater tanks) and snorkelling. There is a place for a feed when you’re famished and they do great satay which are cooked as you order. Lots of photo opportunities and you get to buy them on your way out. The rides will be suspended when there is a lightning warning but will reopen quickly once it’s lifted.",False,True,,Water park,0,5,,not spam,good,ChIJS0Dhxf0b2jERAuG9YaPrYjA,https://maps.google.com/?cid=3486608148490215682&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"water_park, tourist_attraction, amusement_park, amusement_center, point_of_interest, establishment"
Adventure Cove Waterpark,This is a fantastic place to have water activity fun. There is no towel supplies so bring you towel with you to dry up. I recommend buying tickets in advance.,False,True,,Water park,0,5,,not spam,good,ChIJS0Dhxf0b2jERAuG9YaPrYjA,https://maps.google.com/?cid=3486608148490215682&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"water_park, tourist_attraction, amusement_park, amusement_center, point_of_interest, establishment"
Vivo City,"Multi storied shopping mall with MRT station.
Sentosa express that runs between Mainland and Sentosa island starts from Vivo City station.",False,True,,Bus stop,0,5,,not spam,good,ChIJV8Xb91gZ2jER-WmSKEt5LN0,https://maps.google.com/?cid=15937246545067534841&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"bus_stop, transit_station, point_of_interest, establishment"
Vivo City,"Amazing mall with almost anything you could want.
Great fun to visit with friends",False,True,,Bus stop,0,5,,not spam,good,ChIJV8Xb91gZ2jER-WmSKEt5LN0,https://maps.google.com/?cid=15937246545067534841&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"bus_stop, transit_station, point_of_interest, establishment"
