title,text,url,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,Unnamed: 9,spam_label,sentiment_label
Singapore Oceanarium,Amazing place. Really worth an evening to take your time and browse through the exhibits. A bit too vast to go with young kiddos as they get tired quickly. You need at least 4 hours to explore the entire oceanarium. The open ocean was truly mind blowing! More interactive displays would make the experience more appealing to kids.,https://www.google.com/maps/search/?api=1&query=Singapore%20Oceanarium&query_place_id=ChIJj-3Cq_0b2jERJv2MBkSVsPQ,FALSE,TRUE,,Aquarium,0,5,,not spam,good
Singapore Oceanarium,"I’ve been living in Singapore for the past four years, but this was my first time visiting the Singapore Oceanarium, and it was truly magical. Perhaps the universe was waiting for me, it  just reopened after renovations with some exciting new additions, making the experience even more special.

Walking through, I was mesmerized by the incredible variety of marine life—from tiny blue fishes to majestic whales, starfish, stingrays, jellyfish, and of course Nemo and Dory. Each creature was unique, showing me that everyone, big or small, has their own beauty and place in the world. It was calming, grounding, and made me fall in love with nature all over again.

For anyone visiting Singapore, this is a must-see! The combination of serene underwater beauty, thoughtful renovations, and the magic of nature makes it an unforgettable experience.",https://www.google.com/maps/search/?api=1&query=Singapore%20Oceanarium&query_place_id=ChIJj-3Cq_0b2jERJv2MBkSVsPQ,FALSE,TRUE,,Aquarium,0,5,,not spam,good
Resorts World Sentosa,"Overall a great place to stay for comfort, service and location  Nice size room. We had our 15 year old granddaughter with us and the room was not cluttered. It actually had a double and two singles. The TV wasn't great but we hardly watched. The location is close to a free bus stop and over the road from Universal but you need to get the bus to get to the entrance which is just a short drive. The hotel also has a shuttle to the large mall. We added breakfasts for a low price and they were excellent, a full buffet of choice. We had dinner twice and the food was nice although maybe a bit pricey compared to some options and portions. There's a nice pool on the roof with a view although it was closed for maintenence without warning the night we wanted to watch the light show and there's lovely big pools a short walk (dream pool) for laps and relaxing. Room service was great and they also arranged taxis and shuttles on request and stored our bags for the day on check out so we could still explore. Overall very satisfied for price and location. Front desk very polite and efficient.",https://www.google.com/maps/search/?api=1&query=Resorts%20World%20Sentosa&query_place_id=ChIJLR75v_0b2jERJrR28stYwMU,FALSE,FALSE,,Resort hotel,0,5,,not spam,good
Resorts World Sentosa,I visit this place with my cousin for Harry Potter vision of magic. It was great that we got great mini bar and the walking distance to all connected place feel amazing. They got great choice of food that we can purchased from in hotel lobby even for after hours. Great gym as well,https://www.google.com/maps/search/?api=1&query=Resorts%20World%20Sentosa&query_place_id=ChIJLR75v_0b2jERJrR28stYwMU,FALSE,TRUE,,Resort hotel,0,5,,not spam,good
Skyline Luge,"Good place to spend time with family and kids. The chairlift ride up gives you a great view of the island, and the luge itself is just pure fun! There are a few tracks to choose from, each with slight differences in speed and turns. The Night Luge was especially cool, zooming down with colorful lights all around felt like something out of a video game.

The staff didn’t seem very approachable since it was our first time, we had a few questions, but they didn’t appear very willing to help",https://www.google.com/maps/search/?api=1&query=Skyline%20Luge&query_place_id=ChIJs1Hr6f4b2jER3t3uRzo5IgE,FALSE,TRUE,,Tourist attraction,0,5,,not spam,good
Skyline Luge,SO MUCH FUN!  A MUST DO!! Prices were good for this.  Felt like I was in Mario Kart.  Brilliant for all ages and the added bonus of coming back every time of a ski life type trip to do the luge all over again.  This is family fun!!,https://www.google.com/maps/search/?api=1&query=Skyline%20Luge&query_place_id=ChIJs1Hr6f4b2jER3t3uRzo5IgE,FALSE,TRUE,,Tourist attraction,0,5,,not spam,good
Alexandra Retail Centre (ARC),"Dropped by here for a meal at one of the establishments. You can arrive here by walking an overhead bridge that connects from Labrador Park MRT station.

This Retail Centre is pretty large, with an extensive space in the middle of the mall. There are a variety of shops here, including restaurants and supermarkets (like NTUC).

Overall, a good place for you to roam with your family and friends!",https://www.google.com/maps/search/?api=1&query=Alexandra%20Retail%20Centre%20(ARC)&query_place_id=ChIJwz3yHMEb2jERHclcbs5KL4A,FALSE,TRUE,,Shopping mall,0,5,,not spam,good
Alexandra Retail Centre (ARC),Transportation is quite convenient and easy to access. Lots of stores are available to buy groceries and also there are various food shops.,https://www.google.com/maps/search/?api=1&query=Alexandra%20Retail%20Centre%20(ARC)&query_place_id=ChIJwz3yHMEb2jERHclcbs5KL4A,FALSE,TRUE,,Shopping mall,0,5,,not spam,good
Wings of Time Fireworks Symphony,"Wings of Time is a spectacular outdoor night show that blends lights, water, fire, and music into a magical experience. It’s truly worth it for all age groups from kids to adults, everyone will be mesmerized. The storytelling and visuals are captivating, especially for children who’ll absolutely love it. Set by the sea, the atmosphere adds to the charm and wonder. A must-visit if you’re in Singapore!",https://www.google.com/maps/search/?api=1&query=Wings%20of%20Time%20Fireworks%20Symphony&query_place_id=ChIJ3f__j_kb2jERYEEHaAfmcB8,FALSE,TRUE,,Tourist attraction,0,5,,not spam,good
Wings of Time Fireworks Symphony,"A beautiful show with fireworks, water, and light effects. Reservation is required, and it’s highly recommended to book the VIP section for the best view. I definitely recommend it.",https://www.google.com/maps/search/?api=1&query=Wings%20of%20Time%20Fireworks%20Symphony&query_place_id=ChIJ3f__j_kb2jERYEEHaAfmcB8,FALSE,TRUE,,Tourist attraction,0,5,,not spam,good
Singapore Cable Car,Great way to travel to Sentosa Island ! We got on at the Harbour front stop but went on both lines throughout the day. The ticket is excellent value for money because you could ride all day. The view from the cable cars is excellent and definitely should not be missed,https://www.google.com/maps/search/?api=1&query=Singapore%20Cable%20Car&query_place_id=ChIJAQAAAK0e2jERMFQeIT5IR-E,FALSE,TRUE,,Mountain cable car,0,5,,not spam,good
Singapore Cable Car,"fun way to get to Sentosa Island. bought tickets from Klook, we got 1 roundtrip tickets on both Sentosa and Mt Faber line. the staff were nice because we missed our stop in the Sentosa line (forgot the we had to alight at Imbiah lookout as I was waiting for Harbourpoint 😅) and ended up completing 1 full circle.",https://www.google.com/maps/search/?api=1&query=Singapore%20Cable%20Car&query_place_id=ChIJAQAAAK0e2jERMFQeIT5IR-E,FALSE,TRUE,,Mountain cable car,0,5,,not spam,good
Resorts World Sentosa Casino,"🔴🌿 Resorts World Sentosa Casino
➖️  8 Sentosa Gateway, Singapore 098269

🟧 My husband and I visited the Resorts World Sentosa Casino entrance during our day at Sentosa.

➡️ As Singaporeans, we chose not to enter, because there’s a mandatory entry levy of SGD150 per person for locals and permanent residents — which can add up quickly if you’re just curious to take a look inside.

🟪 Foreigners and tourists, however, can enter for free by showing their passports — definitely something to keep in mind if you’re visiting from overseas and want to try your luck.

🟦 We only check out the entrance area and facade, which looks impressive and grand, and took some photos of the nearby transport signs and drop-off points for future reference.

🟠 The casino is centrally located within Resorts World Sentosa, so it’s easy to find if you’re already exploring nearby attractions like Universal Studios Singapore, the Singapore
Oceanarium or Weave Mall.

⚫️ Even though we didn’t go in, it was interesting to see the buzz around the entrance. 🟪 If you’re a tourist and enjoy casinos, it’s a convenient stop in the heart of Sentosa’s entertainment zone.

🟨 1st Aug 2025 Friday",https://www.google.com/maps/search/?api=1&query=Resorts%20World%20Sentosa%20Casino&query_place_id=ChIJPeDOF0kb2jERaAH6HhwdcuQ,FALSE,TRUE,,Casino,0,5,,not spam,good
Resorts World Sentosa Casino,Harvest Mall is located inside RWS casino. Free meal for VIP member. Food is good and great environment. Only thing is this meal might cost you a fortune.,https://www.google.com/maps/search/?api=1&query=Resorts%20World%20Sentosa%20Casino&query_place_id=ChIJPeDOF0kb2jERaAH6HhwdcuQ,FALSE,TRUE,,Casino,0,5,,not spam,good
mTower,"Macdonald, M Tower
Rating ,5

Syllvia Ang known as Ang Ley Kheng visited Macdonald. Ordered chicken prosperity feast. Had curly fries. pineapple pie. Large coke. burger got spicy sauce. The curly fries has a festive mood. The pineapple pie is sweet.

Is not very crowd. Will come again if I am this area.",https://www.google.com/maps/search/?api=1&query=mTower&query_place_id=ChIJyz5ehmAb2jEROk7mVTYgGCg,FALSE,TRUE,,Business center,0,5,,not spam,good
mTower,"Official building, with several key offices situated within. An old but still a key landmark in the cluster of newer buildings in the past decade or so.",https://www.google.com/maps/search/?api=1&query=mTower&query_place_id=ChIJyz5ehmAb2jEROk7mVTYgGCg,FALSE,TRUE,,Business center,0,5,,not spam,good
Travelodge Harbourfront,"From the moment we arrived, we were welcomed with warm smiles and outstanding service. The entire hotel staff was incredibly attentive, friendly, and professional. The rooms were clean, comfortable, and well-maintained, making our stay truly relaxing and enjoyable.||A special shoutout to Supervisor Cella, who went above and beyond to ensure everything was perfect. Her attention to detail, kindness, and genuine care for guests really stood out. She made us feel valued and at home, and we truly appreciated her thoughtful gestures throughout our stay.||We can’t thank the team enough for such a wonderful experience. We’ll definitely be coming back and recommending this hotel to our friends and family!|",https://www.google.com/maps/search/?api=1&query=Travelodge%20Harbourfront&query_place_id=ChIJhQsgLl8Z2jER_ewMvV5K6p8,FALSE,FALSE,,Hotel,0,5,,not spam,good
Travelodge Harbourfront,"Check in on 26/6 and checked out today. Booked the deluxe plus queen room. I really enjoyed my stay here. The room is clean, cosy and the bed is comfy. Pretty quiet with the nature surrounding and opposite is vivocity. It's very convenient. The service staffs is polite and friendly. However, there were some hiccups. The room door couldn't open despite them changing the tap key card. I really hope moving forward they can fix this as some guests they wouldn't have the patience to wait (due to jetlag) or they just want to quickly rest. For me, I'm fine with it as its just a night stay. And the receptionist was very apologetic and let us have late check out. I highly recommend this place for get away. But same time I hope the issue of the door is fixed. 😊",https://www.google.com/maps/search/?api=1&query=Travelodge%20Harbourfront&query_place_id=ChIJhQsgLl8Z2jER_ewMvV5K6p8,FALSE,TRUE,"Dear Mr. Aaron, 

Thank you so much for your kind review. 

We are happy to hear that you have enjoyed your stay at Travelodge. It truly delights to learn that you have our service standards have met your expectations. 

Nevertheless, we are sorry for the inconvenience our door reader has caused during your stay. We appreciate your feedback as it helps us to review and continuously improve our facilities and guest experience. 

Thank you for your kind words and we look forward to welcoming you back in the future. 

Till then, take care and stay safe! ",Hotel,0,5,,not spam,good
Labrador Tower,"Cool looking new building at a very exciting development area of the Greater Southern Waterfront.

The rent there must be quite high, probably higher then some CBD buildings.
Wondering which are the companies who can afford to move into such a space?

Would be cool if somebody can show a list of the neighbors there!",https://www.google.com/maps/search/?api=1&query=Labrador%20Tower&query_place_id=ChIJ7bOWWUIb2jERuJLxuUVP3Ho,FALSE,FALSE,,Corporate office,0,5,,not spam,good
Labrador Tower,Giving a 5 star rating to counter all the angry people who gave a construction site 1 star (how empty and sad must their lives be...),https://www.google.com/maps/search/?api=1&query=Labrador%20Tower&query_place_id=ChIJ7bOWWUIb2jERuJLxuUVP3Ho,FALSE,TRUE,,Corporate office,0,5,,not spam,good
Village Hotel Sentosa,"My first time here at the Village Hotel Sentosa and I must say it was exceptionally wonderful. I want to express how grateful and pleasant my experience here especially during the busy check in period. Yes there was a q but all the front desk officer were diligently assisting all the guest. My heartfelt gratitude goes to Amirah and her colleague Belle for making my checking in process seamless and efficient even though one of our rooms were not ready. Amirah was welcoming, clear and helpful. The exceptional service came in place when team work attributes were displayed between Amirah and Belle. Belle who was forthcoming and informative ensured that I was well aware of the busy events that was happening during that day. I hope the hotel management notice their professionalism and they are indeed an example and expectation of a hotelier.  Big Thank You VHS for the wonderful officers you have!",https://www.google.com/maps/search/?api=1&query=Village%20Hotel%20Sentosa&query_place_id=ChIJnaclKngb2jERIZvtEgenn8w,FALSE,FALSE,,Hotel,0,5,,not spam,good
Village Hotel Sentosa,"We stayed at Village Hotel Sentosa for our 20th wedding anniversary, and I have to say that Shah and Aishwini made it extra special for us. They kindly upgraded our room to one with a beautiful sea view and even surprised us with a lovely congratulatory note and some macarons. It was such a thoughtful gesture!||On top of that, their warm welcome and helpful guidance throughout our stay really stood out. Among all our travels, they are definitely some of the kindest and most memorable hotel staff we’ve ever met. Big thanks to both Shah and Aishwini for making our anniversary stay truly unforgettable.",https://www.google.com/maps/search/?api=1&query=Village%20Hotel%20Sentosa&query_place_id=ChIJnaclKngb2jERIZvtEgenn8w,FALSE,FALSE,,Hotel,0,5,,not spam,good
"Shangri-La Rasa Sentosa, Singapore","Our entire family stayed at this beautiful hotel back in March, and we absolutely loved it! The serene atmosphere, abundant wildlife, and spacious swimming pool made it a truly memorable stay. The breakfasts were unbelievably delicious… some of the best we have had. I would definitely return here when I'm back in Singapore.",https://www.google.com/maps/search/?api=1&query=Shangri-La%20Rasa%20Sentosa%2C%20Singapore&query_place_id=ChIJ7aFemPAb2jERQTmgdV0wbLM,FALSE,TRUE,"Dear Da P,

Thank you for the positive review. We are glad to hear your compliments on our family-friendly facilities and breakfast buffet. We look forward to welcoming you back to Shangri-La Rasa Sentosa, Singapore again!

Yours sincerely,
Markus Christ
General Manager",Resort hotel,0,5,,not spam,good
"Shangri-La Rasa Sentosa, Singapore",Beautiful hotel the rooms are really nice and clean housekeeping are great they even lined up my sons teddies on the bed he loved that. There are washing machines/dryers for use for free including washing powder which is great when travelling. Kid club is awesome my son really enjoyed it. Great place to stay with kids with water slides and pool games. There’s a few peacocks at the resort and huge monitor lizards. There is ping pong and billiards. Very family friendly and the front desk staff and concierge are very good.,https://www.google.com/maps/search/?api=1&query=Shangri-La%20Rasa%20Sentosa%2C%20Singapore&query_place_id=ChIJ7aFemPAb2jERQTmgdV0wbLM,FALSE,FALSE,,Resort hotel,0,5,,not spam,good
Labrador Nature Reserve,"Went for a walk on Sunday evening and it turned out to be such a peaceful and relaxing time. The park was quiet, which made it even nicer. Caught the sunset while strolling and it was absolutely beautiful. The breeze, the calm vibes, and the golden light made the whole experience feel like a perfect little break from the city rush. Would definitely come back again for another slow evening walk.",https://www.google.com/maps/search/?api=1&query=Labrador%20Nature%20Reserve&query_place_id=ChIJoy3rj-sb2jERA_wMVazFAiI,FALSE,TRUE,,Nature preserve,0,5,,not spam,good
Labrador Nature Reserve,"My wife and I went for a jog from our place all the way to the beautiful Labrador Nature Reserve, and it was an incredible experience. The moment we arrived, we were surrounded by lush greenery on one side and the calming sea on the other truly a breathtaking contrast that made the jog even more rewarding.

What makes this spot even more special is the view of the Singapore Cable Car gliding smoothly across the sky in the distance, adding a touch of charm to the already stunning scenery. Whether you’re looking for a peaceful walk, a scenic jog, or just a relaxing time with nature, Labrador Nature Reserve is definitely worth the visit.",https://www.google.com/maps/search/?api=1&query=Labrador%20Nature%20Reserve&query_place_id=ChIJoy3rj-sb2jERA_wMVazFAiI,FALSE,TRUE,,Nature preserve,0,5,,not spam,good
Adventure Cove Waterpark,"A fantastic waterpark in Sentosa where you can spend the entire day there. There are lots of slides and water activities for everyone, from the young to the old. Some rides do have a height and weight restriction. There are lockers where you can put your items away and they have different sizing options. The popular rides are the different slides, wave pool, river ride (where you’ll experience random waves, splashes and underwater tanks) and snorkelling. There is a place for a feed when you’re famished and they do great satay which are cooked as you order. Lots of photo opportunities and you get to buy them on your way out. The rides will be suspended when there is a lightning warning but will reopen quickly once it’s lifted.",https://www.google.com/maps/search/?api=1&query=Adventure%20Cove%20Waterpark&query_place_id=ChIJS0Dhxf0b2jERAuG9YaPrYjA,FALSE,TRUE,,Water park,0,5,,not spam,good
Adventure Cove Waterpark,This is a fantastic place to have water activity fun. There is no towel supplies so bring you towel with you to dry up. I recommend buying tickets in advance.,https://www.google.com/maps/search/?api=1&query=Adventure%20Cove%20Waterpark&query_place_id=ChIJS0Dhxf0b2jERAuG9YaPrYjA,FALSE,TRUE,,Water park,0,5,,not spam,good
Vivo City,"Multi storied shopping mall with MRT station.
Sentosa express that runs between Mainland and Sentosa island starts from Vivo City station.",https://www.google.com/maps/search/?api=1&query=Vivo%20City&query_place_id=ChIJV8Xb91gZ2jER-WmSKEt5LN0,FALSE,TRUE,,Bus stop,0,5,,not spam,good
Vivo City,"Amazing mall with almost anything you could want.
Great fun to visit with friends",https://www.google.com/maps/search/?api=1&query=Vivo%20City&query_place_id=ChIJV8Xb91gZ2jER-WmSKEt5LN0,FALSE,TRUE,,Bus stop,0,5,,not spam,good
St James Power Station,"🟧 St James Power Station
3 Sentosa Gateway, Singapore 098544

⬛️  I visited St James Power Station — now the Singapore headquarters of Dyson — on 1st August 2025 (Fri)

🔵 This beautifully conserved industrial building was Singapore’s first coal-fired power station, and today it’s an iconic landmark blending heritage with modern innovation.

❇️ We had planned to explore the heritage gallery located within the former power station to learn more about its history.

⚫️ However, the security personnel informed me politely that parking at Dyson’s offices is not open to the public.

🟫 Visitors need to park at the nearby VivoCity instead and walk over. 😅As I was short on time, I only managed to admire and photograph the striking red-brick facade.

⚫️ I look forward to returning when I have more time to visit the gallery properly. It is a meaningful stop for anyone interested in Singapore’s industrial past.

🔴  Tip: Park at VivoCity Mall next door, and take a short walk across.

🟠🌳🌳 Worth it: Even if you’re just passing by, the exterior facade is highly impressive and makes for great photos.

✅️ You can Book for a slot to visit the museum at the St James Power Station website.",https://www.google.com/maps/search/?api=1&query=St%20James%20Power%20Station&query_place_id=ChIJ1VO7IVkZ2jERBm7au3IHB0I,FALSE,TRUE,,Historical landmark,0,5,,not spam,good
St James Power Station,"They've kept some cool poster boards explaining the history, which is a nice touch.  It's crazy to think this used to be a power station, they've really transformed it. The renovation is impressive, and you can tell they put a lot of work into it.  Not allowed to visit inside as it is a private property now.",https://www.google.com/maps/search/?api=1&query=St%20James%20Power%20Station&query_place_id=ChIJ1VO7IVkZ2jERBm7au3IHB0I,FALSE,TRUE,,Historical landmark,0,5,,not spam,good
Sentosa Development Corporation,"We were just here for lunch at the office's cafe, but everyone was so friendly!",https://www.google.com/maps/search/?api=1&query=Sentosa%20Development%20Corporation&query_place_id=ChIJCY9OVf4b2jERUpSqNgjnpBQ,FALSE,TRUE,,Tourist attraction,0,5,,not spam,good
Sentosa Development Corporation,"I would like to extend my heartfelt appreciation to your Service Ambassador, Mr. Rahman, for his exceptional assistance at the VivoCity Sentosa Station.
While I was in a very long queue, I informed Mr. Rahman that I am pregnant and experiencing back pain. He immediately offered me priority in the queue and kindly advised me to take a seat inside the train. His attentiveness, empathy, and professionalism made a significant difference in my journey.
Mr. Rahman’s thoughtful actions truly reflect the spirit of excellent customer service, and I am very grateful for his support.
Please convey my thanks to him, and I hope his efforts will be recognised.",https://www.google.com/maps/search/?api=1&query=Sentosa%20Development%20Corporation&query_place_id=ChIJCY9OVf4b2jERUpSqNgjnpBQ,FALSE,FALSE,,Tourist attraction,0,5,,not spam,good
Dyson Global Headquarters,Excellent services from the sales team- credit to Eugene for a his professional knowledge and intelligent communication/presentation . We have impressed what Dyson cares for professionals and consumers . Thumbs up 👍🏻👍🏻👍🏻,https://www.google.com/maps/search/?api=1&query=Dyson%20Global%20Headquarters&query_place_id=ChIJWUrZuc0Z2jERAtxWnHRcbLU,FALSE,FALSE,,Corporate office,0,5,,not spam,good
Dyson Global Headquarters,"Started using the V12 Detect Slim in June 22. In August 22, send a photo to Dyson Singapore customer service to report the faulty bin. Was advised to replace the bin and stock will be available in October 22. Waited patiently. In October, informed that bin not available and no definite date of availability.  Advised to go service center. Worst customer care!",https://www.google.com/maps/search/?api=1&query=Dyson%20Global%20Headquarters&query_place_id=ChIJWUrZuc0Z2jERAtxWnHRcbLU,FALSE,FALSE,,Corporate office,0,5,,not spam,bad
Caribbean at Keppel Bay,"What an outstanding condo , like a resort, to enjoy life
The building design, with private lift for every unit , it’s so unusual these days
The landscaping is so well-maintained and looks beautiful like a resort area
The swimming pools are great, with a large Olympic size pool, and children’s pools. There are a few pools around for convenience.
The management committee is doing a great job . The property management is doing a great job under a competent property management company.
They Cheers  convenience store in the parking lot is so convenient to the residents",https://www.google.com/maps/search/?api=1&query=Caribbean%20at%20Keppel%20Bay&query_place_id=ChIJk9NTsREb2jER8TZTUgD_UdU,FALSE,TRUE,,Condominium complex,0,5,,not spam,good
Caribbean at Keppel Bay,Beautiful condominium project surrounded by lush greenery and water everywhere you turn. Made even better by being a stone's throw away from Vivo City. One of the best waterfront living places around,https://www.google.com/maps/search/?api=1&query=Caribbean%20at%20Keppel%20Bay&query_place_id=ChIJk9NTsREb2jER8TZTUgD_UdU,FALSE,TRUE,,Condominium complex,0,5,,not spam,good
Police Coast Guard - Brani Base (Headquarters),Unique place and safety areas,https://www.google.com/maps/search/?api=1&query=Police%20Coast%20Guard%20-%20Brani%20Base%20(Headquarters)&query_place_id=ChIJ81JXrksY2jER7-F68K-_oI8,FALSE,TRUE,,Coast guard station,0,5,,not spam,good
Police Coast Guard - Brani Base (Headquarters),Best 2 of my life spent here.,https://www.google.com/maps/search/?api=1&query=Police%20Coast%20Guard%20-%20Brani%20Base%20(Headquarters)&query_place_id=ChIJ81JXrksY2jER7-F68K-_oI8,FALSE,TRUE,,Coast guard station,0,5,,not spam,good
Suntec Singapore Convention & Exhibition Centre,"I recently attended a 2-day conference at Suntec Singapore Convention & Exhibition Centre and was very impressed by the facilities and overall experience.

The location is extremely convenient—right in the heart of the city and easily accessible by MRT, bus, or on foot from nearby hotels like Pan Pacific, Marina Mandarin, and others. There’s a direct connection to several malls and plenty of food and shopping options nearby, which is great for breaks in between sessions.

The convention center itself is modern, spacious, and well-maintained. The conference halls were well-equipped with good lighting, acoustics, and AV systems. Signage was clear, and staff were always available to help guide attendees.

I appreciated the comfortable seating, clean restrooms, and the efficient flow of people between different areas—even during peak times. The air conditioning was strong but comfortable, which helped keep long sessions bearable.

Overall, Suntec is an excellent venue for conferences and exhibitions—professional, accessible, and supported by a wide range of nearby services and attractions. I would be happy to attend future events here.",https://www.google.com/maps/search/?api=1&query=Suntec%20Singapore%20Convention%20%26%20Exhibition%20Centre&query_place_id=ChIJ8yvdOK8Z2jERx1TP2rKMPtY,FALSE,TRUE,,Convention center,0,5,,not spam,good
Suntec Singapore Convention & Exhibition Centre,The Heart of Healthcare were held here to commemorate and recognise the efforts and hardwork of healthcare workers during COVID-19 in Singapore. The space were well made use of to set up exhibitions to allow attendees walk through the journey.,https://www.google.com/maps/search/?api=1&query=Suntec%20Singapore%20Convention%20%26%20Exhibition%20Centre&query_place_id=ChIJ8yvdOK8Z2jERx1TP2rKMPtY,FALSE,TRUE,,Convention center,0,5,,not spam,good
MBFC Tower 3,"Marina Bay Financial Centre Tower 3 (MBFC Tower 3) is a modern skyscraper located in Singapore's financial district. It is part of the Marina Bay Financial Centre development, which is known for its premium office spaces and world-class facilities. MBFC Tower 3 stands out for its sleek architectural design and strategic location, offering stunning views of Marina Bay and the city skyline.

The building houses a mix of multinational corporations, financial institutions, and professional services firms, making it a hub for business activity. Its amenities include state-of-the-art office spaces, dining options, and easy access to public transportation, ensuring convenience for tenants and visitors alike.

Overall, MBFC Tower 3 is a symbol of Singapore's status as a global financial center, combining functionality, aesthetics, and accessibility. It is an excellent choice for businesses seeking a prestigious address in the heart of the city.",https://www.google.com/maps/search/?api=1&query=MBFC%20Tower%203&query_place_id=ChIJj1FKMw4Z2jERUDz1GxgD08o,FALSE,TRUE,,Business center,0,5,,not spam,good
MBFC Tower 3,"What a cool place, I love my office but whenever I’m at MBFC I know where the cool kids work. I was looking at some office space here and the view of the ocean is amazing. This is what success feels like. Excellently maintained modern beautiful building. Great amenities, very impressive location.",https://www.google.com/maps/search/?api=1&query=MBFC%20Tower%203&query_place_id=ChIJj1FKMw4Z2jERUDz1GxgD08o,FALSE,TRUE,,Business center,0,5,,not spam,good
