title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,spam_label,sentiment_label,id,url,rating,types,policy_label,Unnamed: 15,created,preprocessed_review,spam_label_,sentiment_label_,sarcasm_label_,relevance_score,relevance_label
Arc at Tampines Condominium,"Overall, the situation is acceptable now that the property has reached full condo status after ten years of occupancy. However, there has been an increase in dog owners, which has led to persistent issues. The constant barking from dogs at all hoursâday and nightâcan be incredibly frustrating. Additionally, it is unacceptable for dogs to relieve themselves along the walkway. Dog owners need to be more considerate and responsible about these matters.",False,True,,Condominium complex,0,5.0,not spam,bad,ChIJO7A2amk92jER-5k3F3qJ7sM,https://maps.google.com/?cid=14118373039321618939&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"condominium_complex, real_estate_agency, point_of_interest, establishment",negative_review,,,"Overall, the situation is acceptable now that the property has reached full condo status after ten years of occupancy. However, there has been an increase in dog owners, which has led to persistent issues. The constant barking from dogs at all hoursâday and nightâcan be incredibly frustrating. Additionally, it is unacceptable for dogs to relieve themselves along the walkway. Dog owners need to be more considerate and responsible about these matters.",Not Spam,Negative,Not Sarcastic,0.6703382968902588,Relevant
Bartley MRT Station (CC12),People harashing girls in metro no safety on road also,False,False,,Railway services,0,1.0,not spam,bad,ChIJcQWy_PEX2jEReysgrkFlVxc,https://maps.google.com/?cid=1681924318614793083&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,People harashing girls in metro no safety on road also,Not Spam,Negative,Sarcastic,0.38891109824180603,Relevant
Bedok Reservoir MRT Station (DT30),"Discrimination against gym-going people. 8 out of 10 times when I pass by here with my gym bag, wearing sports gear so it's blatantly obvious I'm going to the gym, I get called to do the very wayang xray scanning which everyone knows is just a waste of taxpayer time and resources. If any bad actors wanted to do something funny, you think they won't be able to see the wayang station setup and just conveniently u-turn to find another MRT station? Should spend tax payers' money in a better way",False,True,,Transportation service,0,1.0,not spam,bad,ChIJp7rLCkY92jERRFElyNyk4dU,https://maps.google.com/?cid=15411780667996197188&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"point_of_interest, establishment",negative_review,,,"Discrimination against gym-going people. 8 out of 10 times when I pass by here with my gym bag, wearing sports gear so it's blatantly obvious I'm going to the gym, I get called to do the very wayang xray scanning which everyone knows is just a waste of taxpayer time and resources. If any bad actors wanted to do something funny, you think they won't be able to see the wayang station setup and just conveniently u-turn to find another MRT station? Should spend tax payers' money in a better way",Not Spam,Negative,Sarcastic,0.3762741982936859,Relevant
Boon Keng MRT Station (NE9),"Real surprises, EXIT OUT TOWARDS THE BENDEMEER'S WET MARKET BOTH MOVING ELEVATORS WERE BLOCKED FOR MAINTENANCE n SERVICES DURING THE Noon peak lunch hours.
Was the Boon Keng Station, Manager in charge awared on this matters as we observed the bad, poor planning n coordination between the maintenance team n himself. SO DO BOTH ENDS PARTIES THINK OF OTHERS, PUBLIC INTEREST.
WE THOUGHT THAT MAINTENANCES R A MUST, BUT THEY CAN DO ONE AT THE TIMES n NOT BLOCKED BOTH. Did both parties THINK ABOUT THE ELDERLY, PEOPLE PUSH THEIR BABIES CART, WHEELCHAIRS QUEUE AT THE BOTH END LIFTS WAITING FOR EXIT, TOO?.",False,True,,Railway services,0,1.0,not spam,bad,ChIJkdvt4_MZ2jERqjBoc1iI-Ao,https://maps.google.com/?cid=790531648078229674&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,"Real surprises, EXIT OUT TOWARDS THE BENDEMEER'S WET MARKET BOTH MOVING ELEVATORS WERE BLOCKED FOR MAINTENANCE n SERVICES DURING THE Noon peak lunch hours.
Was the Boon Keng Station, Manager in charge awared on this matters as we observed the bad, poor planning n coordination between the maintenance team n himself. SO DO BOTH ENDS PARTIES THINK OF OTHERS, PUBLIC INTEREST.
WE THOUGHT THAT MAINTENANCES R A MUST, BUT THEY CAN DO ONE AT THE TIMES n NOT BLOCKED BOTH. Did both parties THINK ABOUT THE ELDERLY, PEOPLE PUSH THEIR BABIES CART, WHEELCHAIRS QUEUE AT THE BOTH END LIFTS WAITING FOR EXIT, TOO?.",Not Spam,Negative,Not Sarcastic,0.17372524738311768,Not Relevant
Buona Vista,"MRT was worst and the train was pack of people, want to have a peaceful MRT station and barge in with a group of people, what the heck is this and LTA never wake up their own idea in the east west line. Should have build a bus interchange for the Buona Vista for the empty field and plus when I was suppose to go to church at commonwealth. The whole train was full of packs with people. Didn't build any LRT trains, shuttle bus and free bus for commonwealth and Buona Vista.",False,True,,Subway station,0,1.0,not spam,bad,ChIJsQvqY0Ia2jER_QrezH_adnY,https://maps.google.com/?cid=8536250386160159485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"subway_station, transit_station, point_of_interest, establishment",negative_review,,,"MRT was worst and the train was pack of people, want to have a peaceful MRT station and barge in with a group of people, what the heck is this and LTA never wake up their own idea in the east west line. Should have build a bus interchange for the Buona Vista for the empty field and plus when I was suppose to go to church at commonwealth. The whole train was full of packs with people. Didn't build any LRT trains, shuttle bus and free bus for commonwealth and Buona Vista.",Not Spam,Negative,Not Sarcastic,0.5486406534910202,Relevant
Buona Vista,"signage and directions there are unclear. i went there with my friend to go to the moe hq. we left via the green line exit as we were from the green line.  seeing the sign that said âmoe hq (ghim moh)â, we followed the directions as we were only aware that the moe hq is near the mrt station. after walking for 22 minutes, me and my friend reached the hq only to find out that we were at the WRONG moe hq. the correct moe hq was opposite the mrt station and we had to walk through the underpass and exit through the circle line exit. if the directions were more clear, stating the directions of âmoe hq (bouna vista)â which is the nearest one, me and my friend would not have been late to our meeting.",False,False,,Subway station,0,1.0,not spam,bad,ChIJsQvqY0Ia2jER_QrezH_adnY,https://maps.google.com/?cid=8536250386160159485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"subway_station, transit_station, point_of_interest, establishment",negative_review,,,"signage and directions there are unclear. i went there with my friend to go to the moe hq. we left via the green line exit as we were from the green line.  seeing the sign that said âmoe hq (ghim moh)â, we followed the directions as we were only aware that the moe hq is near the mrt station. after walking for 22 minutes, me and my friend reached the hq only to find out that we were at the WRONG moe hq. the correct moe hq was opposite the mrt station and we had to walk through the underpass and exit through the circle line exit. if the directions were more clear, stating the directions of âmoe hq (bouna vista)â which is the nearest one, me and my friend would not have been late to our meeting.",Not Spam,Neutral,Not Sarcastic,0.47192804515361786,Relevant
Caldecott MRT Station (CC17),"I felt slightly inconvenienced this morning while heading to work because the train service ends at Caldecott MRT, and everyone had to alight and wait for the next train service which causes a few minutes delay to  their journey.

I personally would have preferred for all train services to run as per normal without disruption in between, and I believe other passengers would feel the same.",False,True,,Railway services,0,1.0,not spam,bad,ChIJD-oMe0MX2jERS-R_Q9sYyA8,https://maps.google.com/?cid=1137186235920409675&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment",negative_review,,,"I felt slightly inconvenienced this morning while heading to work because the train service ends at Caldecott MRT, and everyone had to alight and wait for the next train service which causes a few minutes delay to  their journey.

I personally would have preferred for all train services to run as per normal without disruption in between, and I believe other passengers would feel the same.",Not Spam,Negative,Not Sarcastic,0.4318924844264984,Relevant
City Square Mall,"Nice decorations that I really enjoy looking at. The only thing I do not like is the ONLY walkway to Farrer Park mrt exit G where my bus stop locates. That walkway is plagued with smokers, including staff, taking their break. Please provide them a better smoking spot so passersby do not get affected by their habits.",False,True,,Shopping mall,0,1.0,not spam,bad,ChIJZ1omp8gZ2jERgDUAb_hBKLY,https://maps.google.com/?cid=13125813649241290112&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"shopping_mall, point_of_interest, establishment",negative_review,,,"Nice decorations that I really enjoy looking at. The only thing I do not like is the ONLY walkway to Farrer Park mrt exit G where my bus stop locates. That walkway is plagued with smokers, including staff, taking their break. Please provide them a better smoking spot so passersby do not get affected by their habits.",Not Spam,Negative,Sarcastic,0.28754083439707756,Not Relevant
ComfortDelGro Driving Centre,"I topped up for one team lessons (+$13/LESSON) just to have the option to book my lessons on every 13th of the month. Found out TODAY that there is a silent announcement posted on 20 June that with immediate effect, the fixed date lesson booking is only available for the elite team booking. There is literally no way for me to book lessons from my own team, and according to the website, even if I managed to book lessons from other teams, they don't count toward my progress (since I alr opt for one team system). At this point Im willing to just pay to get it over with, but the best part? To change to elite team (+16+/LESSON) I NEED TO CANCEL ALL LESSONS I HAVE ON HAND. The limit is 6 lessons/month and even that took me almost 2 hours to book 6 slots on 13th June. The only way i see it now is go for my Jul and Aug lessons, change to the more expensive lesson, then still only get to book my next lesson from November onwards. This is ridiculous, is there no one that can do anything to this stupid organisation??",False,True,,Driving school,0,1.0,not spam,bad,ChIJbTmU9rMX2jER-x-599r8Rzg,https://maps.google.com/?cid=4055488006859595771&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"point_of_interest, establishment",negative_review,,,"I topped up for one team lessons (+$13/LESSON) just to have the option to book my lessons on every 13th of the month. Found out TODAY that there is a silent announcement posted on 20 June that with immediate effect, the fixed date lesson booking is only available for the elite team booking. There is literally no way for me to book lessons from my own team, and according to the website, even if I managed to book lessons from other teams, they don't count toward my progress (since I alr opt for one team system). At this point Im willing to just pay to get it over with, but the best part? To change to elite team (+16+/LESSON) I NEED TO CANCEL ALL LESSONS I HAVE ON HAND. The limit is 6 lessons/month and even that took me almost 2 hours to book 6 slots on 13th June. The only way i see it now is go for my Jul and Aug lessons, change to the more expensive lesson, then still only get to book my next lesson from November onwards. This is ridiculous, is there no one that can do anything to this stupid organisation??",Not Spam,Negative,Not Sarcastic,0.34610389173030853,Relevant
Decathlon - Bedok,Totally no cash payment. Kids went to buy things on their own. End up unable to buy. Parent have to make a trip down just to make payment. Totally Nonsense. Expect everyone to have a card to make payment.,False,False,,Sporting goods store,0,1.0,not spam,bad,ChIJ37CzvJ4Z2jERYklcmCHmMUc,https://maps.google.com/?cid=5130134482516199778&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"sporting_goods_store, bicycle_store, clothing_store, store, point_of_interest, establishment",negative_review,,,Totally no cash payment. Kids went to buy things on their own. End up unable to buy. Parent have to make a trip down just to make payment. Totally Nonsense. Expect everyone to have a card to make payment.,Not Spam,Negative,Not Sarcastic,0.43974869946638745,Relevant
GoCycling @ East Coast Park C4,"[DONT RENT HERE] One of the shop with monopoly that does not bother about providing clean, secure bikes and courteous service.
Today as often i pointed to the really old and rusty state of the âbmxâ bike for my kid. Was ignored. Only for the chain to break later on. Waited 30 minutes for a replacement (out of 2 hours rental). And replaced by a bike in an even worse state whereby the chain was not oiled enough and was gripping. Of course, nobody cared about any feedback.

Much rather go to the cycling shop on the other side of the ECP. Just a few minutes difference to access the park - much better service and secure bikes.",False,False,,Bicycle rental service,0,1.0,not spam,bad,ChIJByd2KZwi2jERmNu1msyWr6w,https://maps.google.com/?cid=12443330100961074072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.1,"point_of_interest, establishment",negative_review,,,"[DONT RENT HERE] One of the shop with monopoly that does not bother about providing clean, secure bikes and courteous service.
Today as often i pointed to the really old and rusty state of the âbmxâ bike for my kid. Was ignored. Only for the chain to break later on. Waited 30 minutes for a replacement (out of 2 hours rental). And replaced by a bike in an even worse state whereby the chain was not oiled enough and was gripping. Of course, nobody cared about any feedback.

Much rather go to the cycling shop on the other side of the ECP. Just a few minutes difference to access the park - much better service and secure bikes.",Not Spam,Negative,Not Sarcastic,0.3611667647957802,Relevant
Great World,"Realized that recently there are many pet owners bringing in their pets even in the stroller entering the premises. Please do put more visible, obvious and huge signages other than those in the entrances of the mall. Do note that there are some pet especially those who are barking can scare the kids, some can even have serious allergy to the fur of the pets. Moreover, they are unhygienic especially when brought near the food stalls and supermarket. Lastly, there are some religions who are sensitive to these pets. This is so bad and not the first time that I saw pets inside this mall. Please do something about this before you lose your patrons.",False,True,,Shopping mall,0,1.0,not spam,bad,ChIJB14IQoMZ2jERyjiLXouuJe0,https://maps.google.com/?cid=17088256274737084618&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"shopping_mall, point_of_interest, establishment",negative_review,,,"Realized that recently there are many pet owners bringing in their pets even in the stroller entering the premises. Please do put more visible, obvious and huge signages other than those in the entrances of the mall. Do note that there are some pet especially those who are barking can scare the kids, some can even have serious allergy to the fur of the pets. Moreover, they are unhygienic especially when brought near the food stalls and supermarket. Lastly, there are some religions who are sensitive to these pets. This is so bad and not the first time that I saw pets inside this mall. Please do something about this before you lose your patrons.",Not Spam,Negative,Not Sarcastic,0.27778221879686626,Not Relevant
Guthrie House,"Steep slope into the carpark, missing signs for direction to get out of the carpark into the main road and tight parking spaces.

But hey! If it serves the purpose of alternative parking along the limited slots areas for people looking to patronize the eateries here, then it does deserve some commemoration right?

A useful shop for the rich along these streets is a 24/7 supermarket is something everyone appreciates.",False,True,,Business center,0,5.0,not spam,good,ChIJm4FN5MoR2jER2GHX6oHY6bU,https://maps.google.com/?cid=13108246242940903896&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.1,"corporate_office, point_of_interest, establishment",negative_review,,,"Steep slope into the carpark, missing signs for direction to get out of the carpark into the main road and tight parking spaces.

But hey! If it serves the purpose of alternative parking along the limited slots areas for people looking to patronize the eateries here, then it does deserve some commemoration right?

A useful shop for the rich along these streets is a 24/7 supermarket is something everyone appreciates.",Not Spam,Positive,Sarcastic,0.3855644781142473,Relevant
HarbourFront MRT Station (CC29),"On 29 Jan 2025, 1448h, the door closed unexpectedly without light flashing on its passengers. One passenger was hurt at MP5. Door remain opened for only 1 minute or less, instead of the usual 3 min. And the number of passengers entering and leaving was more than that of a normal day. ðð»ðð»ðð»",False,True,,Transportation service,0,1.0,not spam,bad,ChIJlXwdqs0b2jERnqiRG2DrUXU,https://maps.google.com/?cid=8453796773563050142&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment",negative_review,,,"On 29 Jan 2025, 1448h, the door closed unexpectedly without light flashing on its passengers. One passenger was hurt at MP5. Door remain opened for only 1 minute or less, instead of the usual 3 min. And the number of passengers entering and leaving was more than that of a normal day. ðð»ðð»ðð»",Spam,Negative,Not Sarcastic,0.3639670103788376,Relevant
Holiday Inn Singapore Atrium by IHG,The location is great and housekeeping team does excellent job . Special Thanks to Rosie who went extra mile and made sure our stay was comfortable throughout. The staff at restaurant is not very friendly and there were elements of discrimination were at play however their supervisor tried his best to correct all wrongdoings. The staff at restaurant requires soft skills training and tone down the pitch and arrogance they use while  speaking with guests.,False,False,,Hotel,0,5.0,not spam,bad,ChIJD61Z2XcZ2jERdnvmimcagTY,https://maps.google.com/?cid=3927449382058097526&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"hotel, wedding_venue, event_venue, lodging, point_of_interest, establishment",negative_review,,,The location is great and housekeeping team does excellent job . Special Thanks to Rosie who went extra mile and made sure our stay was comfortable throughout. The staff at restaurant is not very friendly and there were elements of discrimination were at play however their supervisor tried his best to correct all wrongdoings. The staff at restaurant requires soft skills training and tone down the pitch and arrogance they use while  speaking with guests.,Not Spam,Positive,Not Sarcastic,0.36647311598062515,Relevant
Hong Lim Market & Food Centre,I try to avoid eating at Hong Lim because of the low flying pigeons within the hawker centre. They crowd around the tray return area too. Don't need their saliva or poop to add flavor to my food. Food is getting quite expensive too. Might as well eat at an air-conditioned bird-free food court. Pigeons are the death of hawker culture.,False,True,,Hawker center,0,1.0,not spam,bad,ChIJRwKzawsZ2jERKxpszLl54EU,https://maps.google.com/?cid=5035158222305761835&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"tourist_attraction, market, restaurant, food, point_of_interest, establishment",negative_review,,,I try to avoid eating at Hong Lim because of the low flying pigeons within the hawker centre. They crowd around the tray return area too. Don't need their saliva or poop to add flavor to my food. Food is getting quite expensive too. Might as well eat at an air-conditioned bird-free food court. Pigeons are the death of hawker culture.,Not Spam,Negative,Not Sarcastic,0.5503345131874084,Relevant
Katong Shopping Centre,"The carpark is ridiculous, no indication of it being full, still accepting more cars when it is full. Dead end at the top floor of the carpark, everyone ended up having to do 3 point turn to get out. Carpark is narrow and you got to stop your car at many of the turns to allow the opposite direction car to pass. By the time you struggle out to the exit, it will be past the grace period and you got to pay for the parking",False,True,,Shopping mall,0,1.0,not spam,bad,ChIJuXIJwG0Y2jERSMkMTyIynBQ,https://maps.google.com/?cid=1485117100061935944&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,3.7,"shopping_mall, point_of_interest, establishment",negative_review,,,"The carpark is ridiculous, no indication of it being full, still accepting more cars when it is full. Dead end at the top floor of the carpark, everyone ended up having to do 3 point turn to get out. Carpark is narrow and you got to stop your car at many of the turns to allow the opposite direction car to pass. By the time you struggle out to the exit, it will be past the grace period and you got to pay for the parking",Not Spam,Negative,Not Sarcastic,0.27635570615530014,Not Relevant
KINEX,"The management of Kinex Mall is really disappointing.

There are many children who come here for tutoring and dancing; it's a place that kids often visit. However, we have witnessed people casually urinating and defecating in the mall, which is very unsightly. Whatâs even more disappointing is that the mall management did not address the issue in a timely manner and did not take any effective measures to prevent similar situations from happening again.

As a place aimed at families and children, I hope the mall can strengthen its management and maintain a clean environment, so that children do not have to see such inappropriate scenes.",False,False,,Shopping mall,0,1.0,not spam,bad,ChIJYQPdBBcY2jERfCgwBWK0mp0,https://maps.google.com/?cid=11356587743454963836&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.0,"shopping_mall, point_of_interest, establishment",negative_review,,,"The management of Kinex Mall is really disappointing.

There are many children who come here for tutoring and dancing; it's a place that kids often visit. However, we have witnessed people casually urinating and defecating in the mall, which is very unsightly. Whatâs even more disappointing is that the mall management did not address the issue in a timely manner and did not take any effective measures to prevent similar situations from happening again.

As a place aimed at families and children, I hope the mall can strengthen its management and maintain a clean environment, so that children do not have to see such inappropriate scenes.",Not Spam,Negative,Not Sarcastic,0.29158063530921935,Not Relevant
Lavender MRT Station (EW11),"The 2 ladies at the ticket counter and the information desk were very rude and were not ready to share any information that can help tourists. Though I told her that I just want to use the MRT once and then I would be returning back to India, she issued me MRT cards of 10 SGD out of which 5 SGD was non refundable. She didn't even consider informing me of this before issuing the card (though tourists cards were available that would have been cheaper). Is this how the tourists should be treated?",False,True,,Transportation service,0,1.0,not spam,bad,ChIJm34e8bUZ2jERrWo7aOBwxhk,https://maps.google.com/?cid=1857296005460617901&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,"The 2 ladies at the ticket counter and the information desk were very rude and were not ready to share any information that can help tourists. Though I told her that I just want to use the MRT once and then I would be returning back to India, she issued me MRT cards of 10 SGD out of which 5 SGD was non refundable. She didn't even consider informing me of this before issuing the card (though tourists cards were available that would have been cheaper). Is this how the tourists should be treated?",Not Spam,Negative,Not Sarcastic,0.39276965856552126,Relevant
