title,text,isAdvertisement,isLocalGuide,responseFromOwnerText,categoryName,likesCount,stars,spam_label,sentiment_label,id,url,rating,types,policy_label,Unnamed: 15,created,preprocessed_review,spam_label_,sentiment_label_,sarcasm_label_,relevance_score,relevance_label,modified_review,summary
Arc at Tampines Condominium,"Overall, the situation is acceptable now that the property has reached full condo status after ten years of occupancy. However, there has been an increase in dog owners, which has led to persistent issues. The constant barking from dogs at all hoursâday and nightâcan be incredibly frustrating. Additionally, it is unacceptable for dogs to relieve themselves along the walkway. Dog owners need to be more considerate and responsible about these matters.",FALSE,TRUE,,Condominium complex,0,5,not spam,bad,ChIJO7A2amk92jER-5k3F3qJ7sM,https://maps.google.com/?cid=14118373039321618939&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.2,"condominium_complex, real_estate_agency, point_of_interest, establishment",negative_review,,,"Overall, the situation is acceptable now that the property has reached full condo status after ten years of occupancy. However, there has been an increase in dog owners, which has led to persistent issues. The constant barking from dogs at all hoursâday and nightâcan be incredibly frustrating. Additionally, it is unacceptable for dogs to relieve themselves along the walkway. Dog owners need to be more considerate and responsible about these matters.",Not Spam,Negative,Not Sarcastic,0.6703382968902588,Relevant,"Overall, the situation is acceptable now that the property has reached full condo status after ten years of occupancy. However, there has been an increase in dog owners, which has led to persistent issues. The constant barking from dogs at all hoursâday and nightâcan be incredibly frustrating. Additionally, it is unacceptable for dogs to relieve themselves along the walkway. Dog owners need to be more considerate and responsible about these matters. Category: Condominium complex","1) Condominium Complex
2) The reviewer states that the situation has become acceptable, but no further details are provided about what this means. | Labels: Negative"
Bartley MRT Station (CC12),People harashing girls in metro no safety on road also,FALSE,FALSE,,Railway services,0,1,not spam,bad,ChIJcQWy_PEX2jEReysgrkFlVxc,https://maps.google.com/?cid=1681924318614793083&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,People harashing girls in metro no safety on road also,Not Spam,Negative,Sarcastic,0.388911098,Relevant,People harashing girls in metro no safety on road also (Sarcastic) Category: Railway services,"1) Railway Station  
2) The review discusses a negative experience with people harassing girls in the metro with no safety measures. | Labels: Negative, Sarcastic"
Bedok Reservoir MRT Station (DT30),"Discrimination against gym-going people. 8 out of 10 times when I pass by here with my gym bag, wearing sports gear so it's blatantly obvious I'm going to the gym, I get called to do the very wayang xray scanning which everyone knows is just a waste of taxpayer time and resources. If any bad actors wanted to do something funny, you think they won't be able to see the wayang station setup and just conveniently u-turn to find another MRT station? Should spend tax payers' money in a better way",FALSE,TRUE,,Transportation service,0,1,not spam,bad,ChIJp7rLCkY92jERRFElyNyk4dU,https://maps.google.com/?cid=15411780667996197188&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.5,"point_of_interest, establishment",negative_review,,,"Discrimination against gym-going people. 8 out of 10 times when I pass by here with my gym bag, wearing sports gear so it's blatantly obvious I'm going to the gym, I get called to do the very wayang xray scanning which everyone knows is just a waste of taxpayer time and resources. If any bad actors wanted to do something funny, you think they won't be able to see the wayang station setup and just conveniently u-turn to find another MRT station? Should spend tax payers' money in a better way",Not Spam,Negative,Sarcastic,0.3762741982936859,Relevant,"Discrimination against gym-going people. 8 out of 10 times when I pass by here with my gym bag, wearing sports gear so it's blatantly obvious I'm going to the gym, I get called to do the very wayang xray scanning which everyone knows is just a waste of taxpayer time and resources. If any bad actors wanted to do something funny, you think they won't be able to see the wayang station setup and just conveniently u-turn to find another MRT station? Should spend tax payers' money in a better way (Sarcastic) Category: Transportation service","1) Transportation Service  
2) The reviewer is insensitive and discriminates against gym-going people. | Labels: Negative, Sarcastic"
Boon Keng MRT Station (NE9),"Real surprises, EXIT OUT TOWARDS THE BENDEMEER'S WET MARKET BOTH MOVING ELEVATORS WERE BLOCKED FOR MAINTENANCE n SERVICES DURING THE Noon peak lunch hours.
Was the Boon Keng Station, Manager in charge awared on this matters as we observed the bad, poor planning n coordination between the maintenance team n himself. SO DO BOTH ENDS PARTIES THINK OF OTHERS, PUBLIC INTEREST.
WE THOUGHT THAT MAINTENANCES R A MUST, BUT THEY CAN DO ONE AT THE TIMES n NOT BLOCKED BOTH. Did both parties THINK ABOUT THE ELDERLY, PEOPLE PUSH THEIR BABIES CART, WHEELCHAIRS QUEUE AT THE BOTH END LIFTS WAITING FOR EXIT, TOO?.",FALSE,TRUE,,Railway services,0,1,not spam,bad,ChIJkdvt4_MZ2jERqjBoc1iI-Ao,https://maps.google.com/?cid=790531648078229674&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.4,"point_of_interest, establishment",negative_review,,,"Real surprises, EXIT OUT TOWARDS THE BENDEMEER'S WET MARKET BOTH MOVING ELEVATORS WERE BLOCKED FOR MAINTENANCE n SERVICES DURING THE Noon peak lunch hours.
Was the Boon Keng Station, Manager in charge awared on this matters as we observed the bad, poor planning n coordination between the maintenance team n himself. SO DO BOTH ENDS PARTIES THINK OF OTHERS, PUBLIC INTEREST.
WE THOUGHT THAT MAINTENANCES R A MUST, BUT THEY CAN DO ONE AT THE TIMES n NOT BLOCKED BOTH. Did both parties THINK ABOUT THE ELDERLY, PEOPLE PUSH THEIR BABIES CART, WHEELCHAIRS QUEUE AT THE BOTH END LIFTS WAITING FOR EXIT, TOO?.",Not Spam,Negative,Not Sarcastic,0.1737252473831176,Not Relevant,"Real surprises, EXIT OUT TOWARDS THE BENDEMEER'S WET MARKET BOTH MOVING ELEVATORS WERE BLOCKED FOR MAINTENANCE n SERVICES DURING THE Noon peak lunch hours.
Was the Boon Keng Station, Manager in charge awared on this matters as we observed the bad, poor planning n coordination between the maintenance team n himself. SO DO BOTH ENDS PARTIES THINK OF OTHERS, PUBLIC INTEREST.
WE THOUGHT THAT MAINTENANCES R A MUST, BUT THEY CAN DO ONE AT THE TIMES n NOT BLOCKED BOTH. Did both parties THINK ABOUT THE ELDERLY, PEOPLE PUSH THEIR BABIES CART, WHEELCHAIRS QUEUE AT THE BOTH END LIFTS WAITING FOR EXIT, TOO?. Category: Railway services","1) Railway Services 
2) The reviewer had a positive experience with real surprises at the railway service. | Labels: Negative, Not Relevant"
Buona Vista,"MRT was worst and the train was pack of people, want to have a peaceful MRT station and barge in with a group of people, what the heck is this and LTA never wake up their own idea in the east west line. Should have build a bus interchange for the Buona Vista for the empty field and plus when I was suppose to go to church at commonwealth. The whole train was full of packs with people. Didn't build any LRT trains, shuttle bus and free bus for commonwealth and Buona Vista.",FALSE,TRUE,,Subway station,0,1,not spam,bad,ChIJsQvqY0Ia2jER_QrezH_adnY,https://maps.google.com/?cid=8536250386160159485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"subway_station, transit_station, point_of_interest, establishment",negative_review,,,"MRT was worst and the train was pack of people, want to have a peaceful MRT station and barge in with a group of people, what the heck is this and LTA never wake up their own idea in the east west line. Should have build a bus interchange for the Buona Vista for the empty field and plus when I was suppose to go to church at commonwealth. The whole train was full of packs with people. Didn't build any LRT trains, shuttle bus and free bus for commonwealth and Buona Vista.",Not Spam,Negative,Not Sarcastic,0.5486406534910202,Relevant,"MRT was worst and the train was pack of people, want to have a peaceful MRT station and barge in with a group of people, what the heck is this and LTA never wake up their own idea in the east west line. Should have build a bus interchange for the Buona Vista for the empty field and plus when I was suppose to go to church at commonwealth. The whole train was full of packs with people. Didn't build any LRT trains, shuttle bus and free bus for commonwealth and Buona Vista. Category: Subway station","1) Subway Station
2) The reviewer had a negative experience with their visit to the subway station, stating that it was the ""worst"" and that the train was very crowded. | Labels: Negative"
Buona Vista,"signage and directions there are unclear. i went there with my friend to go to the moe hq. we left via the green line exit as we were from the green line.  seeing the sign that said âmoe hq (ghim moh)â, we followed the directions as we were only aware that the moe hq is near the mrt station. after walking for 22 minutes, me and my friend reached the hq only to find out that we were at the WRONG moe hq. the correct moe hq was opposite the mrt station and we had to walk through the underpass and exit through the circle line exit. if the directions were more clear, stating the directions of âmoe hq (bouna vista)â which is the nearest one, me and my friend would not have been late to our meeting.",FALSE,FALSE,,Subway station,0,1,not spam,bad,ChIJsQvqY0Ia2jER_QrezH_adnY,https://maps.google.com/?cid=8536250386160159485&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4,"subway_station, transit_station, point_of_interest, establishment",negative_review,,,"signage and directions there are unclear. i went there with my friend to go to the moe hq. we left via the green line exit as we were from the green line.  seeing the sign that said âmoe hq (ghim moh)â, we followed the directions as we were only aware that the moe hq is near the mrt station. after walking for 22 minutes, me and my friend reached the hq only to find out that we were at the WRONG moe hq. the correct moe hq was opposite the mrt station and we had to walk through the underpass and exit through the circle line exit. if the directions were more clear, stating the directions of âmoe hq (bouna vista)â which is the nearest one, me and my friend would not have been late to our meeting.",Not Spam,Neutral,Not Sarcastic,0.4719280451536178,Relevant,"signage and directions there are unclear. i went there with my friend to go to the moe hq. we left via the green line exit as we were from the green line.  seeing the sign that said âmoe hq (ghim moh)â, we followed the directions as we were only aware that the moe hq is near the mrt station. after walking for 22 minutes, me and my friend reached the hq only to find out that we were at the WRONG moe hq. the correct moe hq was opposite the mrt station and we had to walk through the underpass and exit through the circle line exit. if the directions were more clear, stating the directions of âmoe hq (bouna vista)â which is the nearest one, me and my friend would not have been late to our meeting. Category: Subway station","1) Subway Station  
2) The review discusses a negative experience with unclear signage and directions at the subway station. | Labels: Neutral"
Caldecott MRT Station (CC17),"I felt slightly inconvenienced this morning while heading to work because the train service ends at Caldecott MRT, and everyone had to alight and wait for the next train service which causes a few minutes delay to  their journey.

I personally would have preferred for all train services to run as per normal without disruption in between, and I believe other passengers would feel the same.",FALSE,TRUE,,Railway services,0,1,not spam,bad,ChIJD-oMe0MX2jERS-R_Q9sYyA8,https://maps.google.com/?cid=1137186235920409675&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.6,"point_of_interest, establishment",negative_review,,,"I felt slightly inconvenienced this morning while heading to work because the train service ends at Caldecott MRT, and everyone had to alight and wait for the next train service which causes a few minutes delay to  their journey.

I personally would have preferred for all train services to run as per normal without disruption in between, and I believe other passengers would feel the same.",Not Spam,Negative,Not Sarcastic,0.4318924844264984,Relevant,"I felt slightly inconvenienced this morning while heading to work because the train service ends at Caldecott MRT, and everyone had to alight and wait for the next train service which causes a few minutes delay to  their journey.

I personally would have preferred for all train services to run as per normal without disruption in between, and I believe other passengers would feel the same. Category: Railway services","1) Railway Station
2) The reviewer mentions feeling slightly inconvenienced on a specific morning, but the review is too short to provide more details about what happened. | Labels: Negative"
City Square Mall,"Nice decorations that I really enjoy looking at. The only thing I do not like is the ONLY walkway to Farrer Park mrt exit G where my bus stop locates. That walkway is plagued with smokers, including staff, taking their break. Please provide them a better smoking spot so passersby do not get affected by their habits.",FALSE,TRUE,,Shopping mall,0,1,not spam,bad,ChIJZ1omp8gZ2jERgDUAb_hBKLY,https://maps.google.com/?cid=13125813649241290112&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"shopping_mall, point_of_interest, establishment",negative_review,,,"Nice decorations that I really enjoy looking at. The only thing I do not like is the ONLY walkway to Farrer Park mrt exit G where my bus stop locates. That walkway is plagued with smokers, including staff, taking their break. Please provide them a better smoking spot so passersby do not get affected by their habits.",Not Spam,Negative,Sarcastic,0.2875408343970775,Not Relevant,"Nice decorations that I really enjoy looking at. The only thing I do not like is the ONLY walkway to Farrer Park mrt exit G where my bus stop locates. That walkway is plagued with smokers, including staff, taking their break. Please provide them a better smoking spot so passersby do not get affected by their habits. (Sarcastic) Category: Shopping mall","1) Shopping Mall  
2) The review discusses the shopping mall's nice decorations that the reviewer enjoys looking at. | Labels: Negative, Sarcastic, Not Relevant"
ComfortDelGro Driving Centre,"I topped up for one team lessons (+$13/LESSON) just to have the option to book my lessons on every 13th of the month. Found out TODAY that there is a silent announcement posted on 20 June that with immediate effect, the fixed date lesson booking is only available for the elite team booking. There is literally no way for me to book lessons from my own team, and according to the website, even if I managed to book lessons from other teams, they don't count toward my progress (since I alr opt for one team system). At this point Im willing to just pay to get it over with, but the best part? To change to elite team (+16+/LESSON) I NEED TO CANCEL ALL LESSONS I HAVE ON HAND. The limit is 6 lessons/month and even that took me almost 2 hours to book 6 slots on 13th June. The only way i see it now is go for my Jul and Aug lessons, change to the more expensive lesson, then still only get to book my next lesson from November onwards. This is ridiculous, is there no one that can do anything to this stupid organisation??",FALSE,TRUE,,Driving school,0,1,not spam,bad,ChIJbTmU9rMX2jER-x-599r8Rzg,https://maps.google.com/?cid=4055488006859595771&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.3,"point_of_interest, establishment",negative_review,,,"I topped up for one team lessons (+$13/LESSON) just to have the option to book my lessons on every 13th of the month. Found out TODAY that there is a silent announcement posted on 20 June that with immediate effect, the fixed date lesson booking is only available for the elite team booking. There is literally no way for me to book lessons from my own team, and according to the website, even if I managed to book lessons from other teams, they don't count toward my progress (since I alr opt for one team system). At this point Im willing to just pay to get it over with, but the best part? To change to elite team (+16+/LESSON) I NEED TO CANCEL ALL LESSONS I HAVE ON HAND. The limit is 6 lessons/month and even that took me almost 2 hours to book 6 slots on 13th June. The only way i see it now is go for my Jul and Aug lessons, change to the more expensive lesson, then still only get to book my next lesson from November onwards. This is ridiculous, is there no one that can do anything to this stupid organisation??",Not Spam,Negative,Not Sarcastic,0.3461038917303085,Relevant,"I topped up for one team lessons (+$13/LESSON) just to have the option to book my lessons on every 13th of the month. Found out TODAY that there is a silent announcement posted on 20 June that with immediate effect, the fixed date lesson booking is only available for the elite team booking. There is literally no way for me to book lessons from my own team, and according to the website, even if I managed to book lessons from other teams, they don't count toward my progress (since I alr opt for one team system). At this point Im willing to just pay to get it over with, but the best part? To change to elite team (+16+/LESSON) I NEED TO CANCEL ALL LESSONS I HAVE ON HAND. The limit is 6 lessons/month and even that took me almost 2 hours to book 6 slots on 13th June. The only way i see it now is go for my Jul and Aug lessons, change to the more expensive lesson, then still only get to book my next lesson from November onwards. This is ridiculous, is there no one that can do anything to this stupid organisation?? Category: Driving school","1) Driving School  
2) The reviewer topped up for additional lessons at the driving school, indicating a positive experience and willingness to spend more money. | Labels: Negative"
Decathlon - Bedok,Totally no cash payment. Kids went to buy things on their own. End up unable to buy. Parent have to make a trip down just to make payment. Totally Nonsense. Expect everyone to have a card to make payment.,FALSE,FALSE,,Sporting goods store,0,1,not spam,bad,ChIJ37CzvJ4Z2jERYklcmCHmMUc,https://maps.google.com/?cid=5130134482516199778&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.7,"sporting_goods_store, bicycle_store, clothing_store, store, point_of_interest, establishment",negative_review,,,Totally no cash payment. Kids went to buy things on their own. End up unable to buy. Parent have to make a trip down just to make payment. Totally Nonsense. Expect everyone to have a card to make payment.,Not Spam,Negative,Not Sarcastic,0.4397486994663874,Relevant,Totally no cash payment. Kids went to buy things on their own. End up unable to buy. Parent have to make a trip down just to make payment. Totally Nonsense. Expect everyone to have a card to make payment. Category: Sporting goods store,"1) Sporting goods store
2) The reviewer notes that the store does not accept cash payments and mentions a specific incident where kids bought something at this location, but the details are irrelevant to the review of the store. | Labels: Negative"
GoCycling @ East Coast Park C4,"[DONT RENT HERE] One of the shop with monopoly that does not bother about providing clean, secure bikes and courteous service.
Today as often i pointed to the really old and rusty state of the âbmxâ bike for my kid. Was ignored. Only for the chain to break later on. Waited 30 minutes for a replacement (out of 2 hours rental). And replaced by a bike in an even worse state whereby the chain was not oiled enough and was gripping. Of course, nobody cared about any feedback.

Much rather go to the cycling shop on the other side of the ECP. Just a few minutes difference to access the park - much better service and secure bikes.",FALSE,FALSE,,Bicycle rental service,0,1,not spam,bad,ChIJByd2KZwi2jERmNu1msyWr6w,https://maps.google.com/?cid=12443330100961074072&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRAAGAQgAA,4.1,"point_of_interest, establishment",negative_review,,,"[DONT RENT HERE] One of the shop with monopoly that does not bother about providing clean, secure bikes and courteous service.
Today as often i pointed to the really old and rusty state of the âbmxâ bike for my kid. Was ignored. Only for the chain to break later on. Waited 30 minutes for a replacement (out of 2 hours rental). And replaced by a bike in an even worse state whereby the chain was not oiled enough and was gripping. Of course, nobody cared about any feedback.

Much rather go to the cycling shop on the other side of the ECP. Just a few minutes difference to access the park - much better service and secure bikes.",Not Spam,Negative,Not Sarcastic,0.3611667647957802,Relevant,"[DONT RENT HERE] One of the shop with monopoly that does not bother about providing clean, secure bikes and courteous service.
Today as often i pointed to the really old and rusty state of the âbmxâ bike for my kid. Was ignored. Only for the chain to break later on. Waited 30 minutes for a replacement (out of 2 hours rental). And replaced by a bike in an even worse state whereby the chain was not oiled enough and was gripping. Of course, nobody cared about any feedback.

Much rather go to the cycling shop on the other side of the ECP. Just a few minutes difference to access the park - much better service and secure bikes. Category: Bicycle rental service","1) Bicycle Rental Service  
2) The reviewer strongly advises against renting from this service due to a monopoly situation. | Labels: Negative"
